Project Name,Package Name,Type Name,MethodName,LOC,CC,PC
Assignment-1,forge.ios,IOSAdapter,closeSplashScreen,2,1,0
Assignment-1,forge.ios,IOSAdapter,convertToJPEG,2,1,2
Assignment-1,forge.ios,IOSAdapter,getRealScreenSize,3,1,1
Assignment-1,forge.ios,IOSAdapter,getGamepads,3,1,0
Assignment-1,forge.token,TokenDb,TokenDb,4,1,2
Assignment-1,forge.token,TokenDb,containsRule,3,1,1
Assignment-1,forge.token,TokenDb,getToken,3,1,1
Assignment-1,forge.token,TokenDb,preloadTokens,12,3,0
Assignment-1,forge.token,TokenDb,getToken,14,2,2
Assignment-1,forge.token,TokenDb,getToken,3,1,3
Assignment-1,forge.token,TokenDb,getTokenFromEditions,3,1,2
Assignment-1,forge.token,TokenDb,getTokenFromEditions,3,1,3
Assignment-1,forge.token,TokenDb,getTokenFromEditions,3,1,4
Assignment-1,forge.token,TokenDb,getFoiled,3,1,1
Assignment-1,forge.token,TokenDb,getPrintCount,3,1,2
Assignment-1,forge.token,TokenDb,getMaxPrintCount,3,1,1
Assignment-1,forge.token,TokenDb,getArtCount,3,1,2
Assignment-1,forge.token,TokenDb,getUniqueTokens,3,1,0
Assignment-1,forge.token,TokenDb,getAllTokens,3,1,0
Assignment-1,forge.token,TokenDb,getAllTokens,3,1,1
Assignment-1,forge.token,TokenDb,getAllTokens,3,1,1
Assignment-1,forge.token,TokenDb,wasPrintedInSets,3,1,1
Assignment-1,forge.token,TokenDb,iterator,3,1,0
Assignment-1,forge.token,ITokenDatabase,getToken,0,1,1
Assignment-1,forge.token,ITokenDatabase,getToken,0,1,2
Assignment-1,forge.token,ITokenDatabase,getToken,0,1,3
Assignment-1,forge.token,ITokenDatabase,getTokenFromEditions,0,1,2
Assignment-1,forge.token,ITokenDatabase,getTokenFromEditions,0,1,3
Assignment-1,forge.token,ITokenDatabase,getTokenFromEditions,0,1,4
Assignment-1,forge.token,ITokenDatabase,getFoiled,0,1,1
Assignment-1,forge.token,ITokenDatabase,getPrintCount,0,1,2
Assignment-1,forge.token,ITokenDatabase,getMaxPrintCount,0,1,1
Assignment-1,forge.token,ITokenDatabase,getArtCount,0,1,2
Assignment-1,forge.token,ITokenDatabase,getUniqueTokens,0,1,0
Assignment-1,forge.token,ITokenDatabase,getAllTokens,0,1,0
Assignment-1,forge.token,ITokenDatabase,getAllTokens,0,1,1
Assignment-1,forge.token,ITokenDatabase,getAllTokens,0,1,1
Assignment-1,forge.token,ITokenDatabase,wasPrintedInSets,0,1,1
Assignment-1,forge,LobbyPlayer,LobbyPlayer,3,1,1
Assignment-1,forge,LobbyPlayer,getName,3,1,0
Assignment-1,forge,LobbyPlayer,setName,6,2,1
Assignment-1,forge,LobbyPlayer,hashCode,7,1,0
Assignment-1,forge,LobbyPlayer,equals,21,7,1
Assignment-1,forge,LobbyPlayer,getAvatarIndex,3,1,0
Assignment-1,forge,LobbyPlayer,getSleeveIndex,3,1,0
Assignment-1,forge,LobbyPlayer,setAvatarIndex,3,1,1
Assignment-1,forge,LobbyPlayer,setSleeveIndex,3,1,1
Assignment-1,forge,LobbyPlayer,getAvatarCardImageKey,3,1,0
Assignment-1,forge,LobbyPlayer,setAvatarCardImageKey,3,1,1
Assignment-1,forge,LobbyPlayer,hear,0,1,2
Assignment-1,forge,StaticData,StaticData,3,1,8
Assignment-1,forge,StaticData,StaticData,3,1,12
Assignment-1,forge,StaticData,StaticData,85,24,13
Assignment-1,forge,StaticData,instance,3,1,0
Assignment-1,forge,StaticData,getSetLookup,3,1,0
Assignment-1,forge,StaticData,getEditions,3,1,0
Assignment-1,forge,StaticData,getSortedEditions,11,3,0
Assignment-1,forge,StaticData,getEditionsTypeMap,14,4,0
Assignment-1,forge,StaticData,getCardEdition,4,1,1
Assignment-1,forge,StaticData,getOrLoadCommonCard,10,4,4
Assignment-1,forge,StaticData,attemptToLoadCard,3,1,1
Assignment-1,forge,StaticData,attemptToLoadCard,11,3,2
Assignment-1,forge,StaticData,fetchCard,8,3,3
Assignment-1,forge,StaticData,getCardFromSet,19,6,5
Assignment-1,forge,StaticData,getCardFromSupportedEditions,16,5,5
Assignment-1,forge,StaticData,matchTargetCardDb,6,3,1
Assignment-1,forge,StaticData,isMTGCard,5,2,1
Assignment-1,forge,StaticData,getTournamentPacks,4,2,0
Assignment-1,forge,StaticData,getBoosters,4,2,0
Assignment-1,forge,StaticData,getSpecialBoosters,4,2,0
Assignment-1,forge,StaticData,getPrintSheets,4,2,0
Assignment-1,forge,StaticData,getCommonCards,3,1,0
Assignment-1,forge,StaticData,getVariantCards,3,1,0
Assignment-1,forge,StaticData,getAvailableDatabases,6,1,0
Assignment-1,forge,StaticData,getBlockLands,3,1,0
Assignment-1,forge,StaticData,getAllTokens,3,1,0
Assignment-1,forge,StaticData,allowCustomCardsInDecksConformance,3,1,0
Assignment-1,forge,StaticData,setStandardPredicate,3,1,1
Assignment-1,forge,StaticData,setPioneerPredicate,3,1,1
Assignment-1,forge,StaticData,setModernPredicate,3,1,1
Assignment-1,forge,StaticData,setCommanderPredicate,3,1,1
Assignment-1,forge,StaticData,setOathbreakerPredicate,3,1,1
Assignment-1,forge,StaticData,setBrawlPredicate,3,1,1
Assignment-1,forge,StaticData,getStandardPredicate,3,1,0
Assignment-1,forge,StaticData,getPioneerPredicate,3,1,0
Assignment-1,forge,StaticData,getModernPredicate,3,1,0
Assignment-1,forge,StaticData,getCommanderPredicate,3,1,0
Assignment-1,forge,StaticData,getOathbreakerPredicate,3,1,0
Assignment-1,forge,StaticData,getBrawlPredicate,3,1,0
Assignment-1,forge,StaticData,getAlternativeCardPrint,5,1,2
Assignment-1,forge,StaticData,getAlternativeCardPrint,5,1,5
Assignment-1,forge,StaticData,getAlternativeCardPrint,3,1,6
Assignment-1,forge,StaticData,getAlternativeCardPrint,11,5,7
Assignment-1,forge,StaticData,searchAlternativeCardCandidate,18,6,5
Assignment-1,forge,StaticData,getReferenceDate,7,2,2
Assignment-1,forge,StaticData,getSearchStrategyForAlternativeCardArt,12,4,2
Assignment-1,forge,StaticData,tryToGetCardPrintFromExpansionSet,16,5,4
Assignment-1,forge,StaticData,tryToGetCardPrintWithMatchingFrame,17,5,5
Assignment-1,forge,StaticData,getCardArtCount,8,3,1
Assignment-1,forge,StaticData,getFilteredHandsEnabled,3,1,0
Assignment-1,forge,StaticData,setFilteredHandsEnabled,3,1,1
Assignment-1,forge,StaticData,setMulliganRule,3,1,1
Assignment-1,forge,StaticData,getMulliganRule,3,1,0
Assignment-1,forge,StaticData,setCardArtPreference,4,1,2
Assignment-1,forge,StaticData,getCardArtPreferenceName,3,1,0
Assignment-1,forge,StaticData,getCardArtPreference,3,1,0
Assignment-1,forge,StaticData,getCardArtPreference,6,2,2
Assignment-1,forge,StaticData,isCoreExpansionOnlyFilterSet,3,1,0
Assignment-1,forge,StaticData,cardArtPreferenceIsLatest,3,1,0
Assignment-1,forge,StaticData,getCardArtAvailablePreferences,6,2,0
Assignment-1,forge,StaticData,audit,160,40,2
Assignment-1,forge,StaticData,prettifyCardArtPreferenceName,6,2,1
Assignment-1,forge,StaticData,setCardArtPreference,4,1,1
Assignment-1,forge,StaticData,isEnabledCardArtSmartSelection,3,1,0
Assignment-1,forge,StaticData,setEnableSmartCardArtSelection,3,1,1
Assignment-1,forge,StaticData,useSourceImageForClone,3,1,0
Assignment-1,forge,StaticData,setSourceImageForClone,3,1,1
Assignment-1,forge,StaticData,isRebalanced,12,4,1
Assignment-1,forge,FTrace,initialize,3,1,0
Assignment-1,forge,FTrace,get,4,1,1
Assignment-1,forge,FTrace,formatTimestamp,3,1,1
Assignment-1,forge,FTrace,dump,13,3,0
Assignment-1,forge,FTrace,FTrace,3,1,1
Assignment-1,forge,FTrace,start,8,2,0
Assignment-1,forge,FTrace,end,10,2,0
Assignment-1,forge,ImageKeys,ImageKeys,2,1,0
Assignment-1,forge,ImageKeys,setIsLibGDXPort,3,1,1
Assignment-1,forge,ImageKeys,initializeDirs,11,1,9
Assignment-1,forge,ImageKeys,getTokenKey,3,1,1
Assignment-1,forge,ImageKeys,getTokenImageName,6,2,1
Assignment-1,forge,ImageKeys,clearMissingCards,3,1,0
Assignment-1,forge,ImageKeys,getCachedCardsFile,3,1,1
Assignment-1,forge,ImageKeys,getImageFile,209,51,1
Assignment-1,forge,ImageKeys,getSetFolder,3,1,1
Assignment-1,forge,ImageKeys,hasSetLookup,7,3,1
Assignment-1,forge,ImageKeys,setLookUpFile,39,12,2
Assignment-1,forge,ImageKeys,findFile,24,8,2
Assignment-1,forge,ImageKeys,hasImage,3,1,1
Assignment-1,forge,ImageKeys,hasImage,45,13,2
Assignment-1,forge,ImageKeys,hitCache,5,2,2
Assignment-1,forge,MulliganDefs,getDefaultRule,3,1,0
Assignment-1,forge,MulliganDefs,getMulliganRuleNames,7,2,0
Assignment-1,forge,MulliganDefs,GetRuleByName,11,1,1
Assignment-1,forge,CardStorageReader,setOperationName,0,1,2
Assignment-1,forge,CardStorageReader,report,0,1,2
Assignment-1,forge,CardStorageReader,setOperationName,2,1,2
Assignment-1,forge,CardStorageReader,report,2,1,2
Assignment-1,forge,CardStorageReader,CardStorageReader,22,4,3
Assignment-1,forge,CardStorageReader,loadCardsInRange,9,2,3
Assignment-1,forge,CardStorageReader,loadCardsInRangeFromZip,9,2,3
Assignment-1,forge,CardStorageReader,transformName,22,7,1
Assignment-1,forge,CardStorageReader,findZipEntryForCard,22,7,1
Assignment-1,forge,CardStorageReader,findFileForCard,17,5,1
Assignment-1,forge,CardStorageReader,attemptToLoadCard,15,3,1
Assignment-1,forge,CardStorageReader,loadCards,45,6,0
Assignment-1,forge,CardStorageReader,getZipEntries,13,3,0
Assignment-1,forge,CardStorageReader,executeLoadTask,24,4,3
Assignment-1,forge,CardStorageReader,makeTaskListForZip,18,2,2
Assignment-1,forge,CardStorageReader,makeTaskListForFiles,25,2,2
Assignment-1,forge,CardStorageReader,collectCardFiles,20,6,2
Assignment-1,forge,CardStorageReader,readScript,3,1,1
Assignment-1,forge,CardStorageReader,loadCard,13,1,2
Assignment-1,forge,CardStorageReader,loadCard,9,1,2
Assignment-1,forge,ProgressObserver,setOperationName,0,1,2
Assignment-1,forge,ProgressObserver,report,0,1,2
Assignment-1,forge,ProgressObserver,setOperationName,2,1,2
Assignment-1,forge,ProgressObserver,report,2,1,2
Assignment-1,forge,GuiDownloadSetPicturesLQTest,g,3,1,0
Assignment-1,forge,CardRankerTest,setupTest,3,1,0
Assignment-1,forge,CardRankerTest,testRank,16,1,0
Assignment-1,forge,CardRankerTest,readCard,10,2,1
Assignment-1,forge,PanelTest,phaseTest1,5,1,0
Assignment-1,forge,PanelTest,PanelTest,9,1,0
Assignment-1,forge,PanelTest,jbInit,10,1,0
Assignment-1,forge,RunTest,test,12,1,0
Assignment-1,forge,RunTest,check,5,2,2
Assignment-1,forge,GuiDownloadPicturesLQTest,guiDownloadPicturesTest1,3,1,0
Assignment-1,forge,TinyTest,test_true,3,1,0
Assignment-1,forge,GuiProgressBarWindowTest,guiProgressBarWindowTest1,2,1,0
Assignment-1,forge,FCollectionTest,testCompletableFuture,17,4,0
Assignment-1,forge,BoosterDraft1Test,boosterDraft1Test1,11,3,0
Assignment-1,forge,BoosterDraftTest,getDecks,3,1,0
Assignment-1,forge,BoosterDraftTest,getOpposingPlayers,3,1,0
Assignment-1,forge,BoosterDraftTest,getHumanPlayer,3,1,0
Assignment-1,forge,BoosterDraftTest,getRound,3,1,0
Assignment-1,forge,BoosterDraftTest,nextChoice,7,1,0
Assignment-1,forge,BoosterDraftTest,setChoice,4,1,1
Assignment-1,forge,BoosterDraftTest,hasNextChoice,3,1,0
Assignment-1,forge,BoosterDraftTest,isRoundOver,3,1,0
Assignment-1,forge,BoosterDraftTest,addBooster,3,1,1
Assignment-1,forge,BoosterDraftTest,getChosenCards,3,1,0
Assignment-1,forge,BoosterDraftTest,getUnchosenCards,3,1,0
Assignment-1,forge,BoosterDraftTest,isPileDraft,3,1,0
Assignment-1,forge,BoosterDraftTest,setLogEntry,2,1,1
Assignment-1,forge,BoosterDraftTest,getDraftLog,3,1,0
Assignment-1,forge,BoosterDraftTest,getNeighbor,3,1,2
Assignment-1,forge,BoosterDraftTest,getPlayer,3,1,1
Assignment-1,forge,BoosterDraftTest,postDraftActions,2,1,0
Assignment-1,forge,ImageCache,clear,5,1,0
Assignment-1,forge,ImageCache,getImage,4,1,4
Assignment-1,forge,ImageCache,getImageNoDefault,4,1,4
Assignment-1,forge,ImageCache,getImage,3,1,3
Assignment-1,forge,ImageCache,getImage,3,1,4
Assignment-1,forge,ImageCache,getIcon,8,2,1
Assignment-1,forge,ImageCache,getOriginalImage,3,1,3
Assignment-1,forge,ImageCache,getCardOriginalImageInfo,3,1,2
Assignment-1,forge,ImageCache,getOriginalImageInternal,118,32,3
Assignment-1,forge,ImageCache,isWhite,3,1,1
Assignment-1,forge,ImageCache,isWhiteBorderSet,3,1,1
Assignment-1,forge,ImageCache,isSupportedImageSize,3,1,2
Assignment-1,forge,ImageCache,scaleImage,43,9,5
Assignment-1,forge,ImageCache,getCroppedArt,18,2,5
Assignment-1,forge,ImageCache,getImage,16,2,1
Assignment-1,forge,ImageCache,isPreferenceEnabled,3,1,1
Assignment-1,forge,ImageCache,makeRoundedCorner,14,1,2
Assignment-1,forge,ImageCache,isDefaultImage,3,1,1
Assignment-1,forge,ImageCache,getDefaultImage,3,1,0
Assignment-1,forge,CachedCardImage,CachedCardImage,14,3,4
Assignment-1,forge,CachedCardImage,getImage,3,1,0
Assignment-1,forge,CachedCardImage,onImageFetched,0,1,0
Assignment-1,forge,Singletons,getView,3,1,0
Assignment-1,forge,Singletons,getControl,3,1,0
Assignment-1,forge,Singletons,initializeOnce,17,4,1
Assignment-1,forge,Singletons,Singletons,2,1,0
Assignment-1,forge,GuiDesktop,isRunningOnDesktop,3,1,0
Assignment-1,forge,GuiDesktop,isLibgdxPort,3,1,0
Assignment-1,forge,GuiDesktop,getCurrentVersion,3,1,0
Assignment-1,forge,GuiDesktop,getAssetsDir,3,1,0
Assignment-1,forge,GuiDesktop,getImageFetcher,3,1,0
Assignment-1,forge,GuiDesktop,invokeInEdtNow,3,1,1
Assignment-1,forge,GuiDesktop,invokeInEdtLater,3,1,1
Assignment-1,forge,GuiDesktop,invokeInEdtAndWait,13,2,1
Assignment-1,forge,GuiDesktop,isGuiThread,3,1,0
Assignment-1,forge,GuiDesktop,getSkinIcon,6,2,1
Assignment-1,forge,GuiDesktop,getUnskinnedIcon,3,1,1
Assignment-1,forge,GuiDesktop,getCardArt,3,1,1
Assignment-1,forge,GuiDesktop,getCardArt,3,1,2
Assignment-1,forge,GuiDesktop,createLayeredImage,17,4,4
Assignment-1,forge,GuiDesktop,showImageDialog,3,1,3
Assignment-1,forge,GuiDesktop,showOptionDialog,3,1,5
Assignment-1,forge,GuiDesktop,showInputDialog,3,1,6
Assignment-1,forge,GuiDesktop,getChoices,3,1,6
Assignment-1,forge,GuiDesktop,order,3,1,6
Assignment-1,forge,GuiDesktop,showCardList,5,1,3
Assignment-1,forge,GuiDesktop,showBoxedProduct,6,1,3
Assignment-1,forge,GuiDesktop,chooseCard,6,1,3
Assignment-1,forge,GuiDesktop,getAvatarCount,6,2,0
Assignment-1,forge,GuiDesktop,getSleevesCount,6,2,0
Assignment-1,forge,GuiDesktop,showFileDialog,8,2,2
Assignment-1,forge,GuiDesktop,showBugReportDialog,3,1,3
Assignment-1,forge,GuiDesktop,getSaveFile,6,1,1
Assignment-1,forge,GuiDesktop,download,3,1,2
Assignment-1,forge,GuiDesktop,refreshSkin,2,1,0
Assignment-1,forge,GuiDesktop,copyToClipboard,4,1,1
Assignment-1,forge,GuiDesktop,browseToUrl,3,1,1
Assignment-1,forge,GuiDesktop,createAudioClip,3,1,1
Assignment-1,forge,GuiDesktop,createAudioMusic,3,1,1
Assignment-1,forge,GuiDesktop,startAltSoundSystem,3,1,2
Assignment-1,forge,GuiDesktop,clearImageCache,4,1,0
Assignment-1,forge,GuiDesktop,showSpellShop,4,1,0
Assignment-1,forge,GuiDesktop,showBazaar,5,1,0
Assignment-1,forge,GuiDesktop,getNewGuiGame,3,1,0
Assignment-1,forge,GuiDesktop,hostMatch,5,1,0
Assignment-1,forge,GuiDesktop,runBackgroundTask,3,1,2
Assignment-1,forge,GuiDesktop,encodeSymbols,3,1,2
Assignment-1,forge,GuiDesktop,preventSystemSleep,3,1,1
Assignment-1,forge,GuiDesktop,initializeScreenScale,7,1,0
Assignment-1,forge,GuiDesktop,getScreenScale,3,1,0
Assignment-1,forge,ImageLoader,load,20,5,1
Assignment-1,forge,Forge,getApp,18,3,10
Assignment-1,forge,Forge,Forge,2,1,0
Assignment-1,forge,Forge,getForgePreferences,3,1,0
Assignment-1,forge,Forge,getLocalizer,4,2,0
Assignment-1,forge,Forge,create,78,15,0
Assignment-1,forge,Forge,hasGamepad,6,2,0
Assignment-1,forge,Forge,getInputProcessor,3,1,0
Assignment-1,forge,Forge,getGraphics,3,1,0
Assignment-1,forge,Forge,getSplashScreen,4,2,0
Assignment-1,forge,Forge,getCurrentScene,3,1,0
Assignment-1,forge,Forge,preloadExtendedArt,11,6,0
Assignment-1,forge,Forge,preloadBoosterDrafts,3,1,0
Assignment-1,forge,Forge,openHomeScreen,12,2,2
Assignment-1,forge,Forge,openHomeDefault,12,2,0
Assignment-1,forge,Forge,openAdventure,11,3,0
Assignment-1,forge,Forge,loadAdventureResources,15,2,1
Assignment-1,forge,Forge,afterDbLoaded,59,9,0
Assignment-1,forge,Forge,setCursor,70,17,2
Assignment-1,forge,Forge,setGdxCursor,3,1,1
Assignment-1,forge,Forge,getClipboard,3,1,0
Assignment-1,forge,Forge,getDeviceAdapter,3,1,0
Assignment-1,forge,Forge,startContinuousRendering,5,2,0
Assignment-1,forge,Forge,stopContinuousRendering,5,2,0
Assignment-1,forge,Forge,setHeightModifier,3,1,1
Assignment-1,forge,Forge,getHeightModifier,3,1,0
Assignment-1,forge,Forge,adjustHeightModifier,13,4,2
Assignment-1,forge,Forge,setForcedEnglishonCJKMissing,7,2,0
Assignment-1,forge,Forge,showMenu,8,4,0
Assignment-1,forge,Forge,onHomeScreen,3,1,0
Assignment-1,forge,Forge,back,3,1,0
Assignment-1,forge,Forge,back,28,6,1
Assignment-1,forge,Forge,run,14,3,1
Assignment-1,forge,Forge,setBackScreen,10,3,2
Assignment-1,forge,Forge,restart,20,4,1
Assignment-1,forge,Forge,run,6,2,1
Assignment-1,forge,Forge,exit,23,4,1
Assignment-1,forge,Forge,run,6,2,1
Assignment-1,forge,Forge,openScreen,3,1,1
Assignment-1,forge,Forge,openScreen,35,9,2
Assignment-1,forge,Forge,run,22,7,1
Assignment-1,forge,Forge,isTextureFilteringEnabled,3,1,0
Assignment-1,forge,Forge,isLandscapeMode,4,2,0
Assignment-1,forge,Forge,isLoadingaMatch,3,1,0
Assignment-1,forge,Forge,setLoadingaMatch,3,1,1
Assignment-1,forge,Forge,getScreenWidth,3,1,0
Assignment-1,forge,Forge,getScreenHeight,3,1,0
Assignment-1,forge,Forge,getCurrentScreen,3,1,0
Assignment-1,forge,Forge,clearCurrentScreen,3,1,0
Assignment-1,forge,Forge,switchToClassic,14,1,0
Assignment-1,forge,Forge,switchToAdventure,10,1,0
Assignment-1,forge,Forge,setTransitionScreen,3,1,1
Assignment-1,forge,Forge,clearTransitionScreen,3,1,0
Assignment-1,forge,Forge,clearTransitionScreen,12,4,1
Assignment-1,forge,Forge,clearSplashScreen,3,1,0
Assignment-1,forge,Forge,takeScreenshot,14,2,0
Assignment-1,forge,Forge,setCurrentScreen,22,4,1
Assignment-1,forge,Forge,render,107,23,0
Assignment-1,forge,Forge,delayedSwitchBack,8,1,0
Assignment-1,forge,Forge,resize,14,5,2
Assignment-1,forge,Forge,pause,5,2,0
Assignment-1,forge,Forge,resume,13,2,0
Assignment-1,forge,Forge,dispose,19,2,0
Assignment-1,forge,Forge,getAssets,3,1,0
Assignment-1,forge,Forge,switchScene,3,1,1
Assignment-1,forge,Forge,switchScene,21,8,2
Assignment-1,forge,Forge,storeScreen,5,2,0
Assignment-1,forge,Forge,switchToLast,11,2,0
Assignment-1,forge,Forge,log,3,1,1
Assignment-1,forge,Forge,startKeyInput,9,3,1
Assignment-1,forge,Forge,setOnScreenKeyboard,3,1,2
Assignment-1,forge,Forge,endKeyInput,11,2,0
Assignment-1,forge,Forge,exitAnimation,6,3,1
Assignment-1,forge,Forge,getOwner,0,1,0
Assignment-1,forge,Forge,allowTouchInput,0,1,0
Assignment-1,forge,Forge,keyTyped,0,1,1
Assignment-1,forge,Forge,keyDown,0,1,1
Assignment-1,forge,Forge,onInputEnd,0,1,0
Assignment-1,forge,Forge,keyUp,3,1,1
Assignment-1,forge,Forge,isCtrlKeyDown,3,1,0
Assignment-1,forge,Forge,isShiftKeyDown,3,1,0
Assignment-1,forge,Forge,isAltKeyDown,3,1,0
Assignment-1,forge,Forge,isModifierKey,12,7,1
Assignment-1,forge,Forge,keyDown,43,14,1
Assignment-1,forge,Forge,keyUp,10,3,1
Assignment-1,forge,Forge,keyTyped,12,4,1
Assignment-1,forge,Forge,updatePotentialListeners,17,6,2
Assignment-1,forge,Forge,touchDown,16,6,4
Assignment-1,forge,Forge,press,14,3,2
Assignment-1,forge,Forge,release,14,3,2
Assignment-1,forge,Forge,longPress,14,3,2
Assignment-1,forge,Forge,tap,17,4,3
Assignment-1,forge,Forge,flick,14,3,2
Assignment-1,forge,Forge,fling,14,3,2
Assignment-1,forge,Forge,pan,14,3,5
Assignment-1,forge,Forge,panStop,14,3,2
Assignment-1,forge,Forge,zoom,14,3,3
Assignment-1,forge,Forge,mouseMoved,18,3,2
Assignment-1,forge,Forge,scrolled,17,4,2
Assignment-1,forge,Forge,enableControllerListener,139,41,0
Assignment-1,forge,Forge,connected,5,2,1
Assignment-1,forge,Forge,disconnected,4,1,1
Assignment-1,forge,Forge,buttonDown,5,1,2
Assignment-1,forge,Forge,buttonUp,5,1,2
Assignment-1,forge,Forge,axisMoved,5,1,3
Assignment-1,forge,Forge,translateAxis,20,9,3
Assignment-1,forge,Forge,translateButtons,86,30,3
Assignment-1,forge,KeyInputAdapter,getOwner,0,1,0
Assignment-1,forge,KeyInputAdapter,allowTouchInput,0,1,0
Assignment-1,forge,KeyInputAdapter,keyTyped,0,1,1
Assignment-1,forge,KeyInputAdapter,keyDown,0,1,1
Assignment-1,forge,KeyInputAdapter,onInputEnd,0,1,0
Assignment-1,forge,KeyInputAdapter,keyUp,3,1,1
Assignment-1,forge,KeyInputAdapter,isCtrlKeyDown,3,1,0
Assignment-1,forge,KeyInputAdapter,isShiftKeyDown,3,1,0
Assignment-1,forge,KeyInputAdapter,isAltKeyDown,3,1,0
Assignment-1,forge,KeyInputAdapter,isModifierKey,12,7,1
Assignment-1,forge,MainInputProcessor,keyDown,43,14,1
Assignment-1,forge,MainInputProcessor,keyUp,10,3,1
Assignment-1,forge,MainInputProcessor,keyTyped,12,4,1
Assignment-1,forge,MainInputProcessor,updatePotentialListeners,17,6,2
Assignment-1,forge,MainInputProcessor,touchDown,16,6,4
Assignment-1,forge,MainInputProcessor,press,14,3,2
Assignment-1,forge,MainInputProcessor,release,14,3,2
Assignment-1,forge,MainInputProcessor,longPress,14,3,2
Assignment-1,forge,MainInputProcessor,tap,17,4,3
Assignment-1,forge,MainInputProcessor,flick,14,3,2
Assignment-1,forge,MainInputProcessor,fling,14,3,2
Assignment-1,forge,MainInputProcessor,pan,14,3,5
Assignment-1,forge,MainInputProcessor,panStop,14,3,2
Assignment-1,forge,MainInputProcessor,zoom,14,3,3
Assignment-1,forge,MainInputProcessor,mouseMoved,18,3,2
Assignment-1,forge,MainInputProcessor,scrolled,17,4,2
Assignment-1,forge,GuiMobile,GuiMobile,3,1,1
Assignment-1,forge,GuiMobile,isRunningOnDesktop,3,1,0
Assignment-1,forge,GuiMobile,isLibgdxPort,3,1,0
Assignment-1,forge,GuiMobile,getCurrentVersion,3,1,0
Assignment-1,forge,GuiMobile,getAssetsDir,3,1,0
Assignment-1,forge,GuiMobile,getImageFetcher,3,1,0
Assignment-1,forge,GuiMobile,invokeInEdtNow,4,1,1
Assignment-1,forge,GuiMobile,invokeInEdtLater,3,1,1
Assignment-1,forge,GuiMobile,invokeInEdtAndWait,13,2,1
Assignment-1,forge,GuiMobile,run,3,1,0
Assignment-1,forge,GuiMobile,isGuiThread,3,1,0
Assignment-1,forge,GuiMobile,getSkinIcon,6,2,1
Assignment-1,forge,GuiMobile,getUnskinnedIcon,6,2,1
Assignment-1,forge,GuiMobile,getCardArt,3,1,1
Assignment-1,forge,GuiMobile,getCardArt,3,1,2
Assignment-1,forge,GuiMobile,createLayeredImage,23,4,4
Assignment-1,forge,GuiMobile,draw,18,4,3
Assignment-1,forge,GuiMobile,showImageDialog,12,2,3
Assignment-1,forge,GuiMobile,run,3,1,0
Assignment-1,forge,GuiMobile,showOptionDialog,8,1,5
Assignment-1,forge,GuiMobile,run,3,1,0
Assignment-1,forge,GuiMobile,showInputDialog,8,1,6
Assignment-1,forge,GuiMobile,run,3,1,0
Assignment-1,forge,GuiMobile,getChoices,8,1,6
Assignment-1,forge,GuiMobile,run,3,1,0
Assignment-1,forge,GuiMobile,order,8,1,6
Assignment-1,forge,GuiMobile,run,3,1,0
Assignment-1,forge,GuiMobile,showBugReportDialog,3,1,3
Assignment-1,forge,GuiMobile,showCardList,5,1,3
