Project Name,Package Name,Type Name,Method Name,Code Smell
Assignment-1,forge,Forge,render,Complex Method
Assignment-1,forge,Forge,render,Empty catch clause
Assignment-1,forge,Forge,render,Long Method
Assignment-1,forge,Forge,render,Long Statement
Assignment-1,forge,Forge,render,Long Statement
Assignment-1,forge,Forge,render,Long Statement
Assignment-1,forge,Forge,render,Long Statement
Assignment-1,forge,Forge,render,Magic Number
Assignment-1,forge,Forge,render,Magic Number
Assignment-1,forge,Forge,render,Magic Number
Assignment-1,forge,Forge,render,Magic Number
Assignment-1,forge,Forge,render,Magic Number
Assignment-1,forge,Forge,render,Magic Number
Assignment-1,forge,Forge,render,Magic Number
Assignment-1,forge,Forge,render,Magic Number
Assignment-1,forge,Forge,dispose,Empty catch clause
Assignment-1,forge,Forge,switchScene,Complex Conditional
Assignment-1,forge,Forge,switchScene,Complex Method
Assignment-1,forge,Forge,switchScene,Long Statement
Assignment-1,forge,Forge,setOnScreenKeyboard,Long Statement
Assignment-1,forge,Forge,keyDown,Complex Conditional
Assignment-1,forge,Forge,keyDown,Complex Method
Assignment-1,forge,Forge,keyDown,Long Statement
Assignment-1,forge,Forge,keyDown,Magic Number
Assignment-1,forge,Forge,keyDown,Magic Number
Assignment-1,forge,Forge,keyDown,Magic Number
Assignment-1,forge,Forge,keyDown,Magic Number
Assignment-1,forge,Forge,pan,Long Parameter List
Assignment-1,forge,Forge,enableControllerListener,Complex Method
Assignment-1,forge,Forge,enableControllerListener,Long Method
Assignment-1,forge,Forge,enableControllerListener,Magic Number
Assignment-1,forge,Forge,enableControllerListener,Magic Number
Assignment-1,forge,Forge,enableControllerListener,Magic Number
Assignment-1,forge,Forge,connected,Magic Number
Assignment-1,forge,Forge,translateAxis,Complex Method
Assignment-1,forge,Forge,translateAxis,Magic Number
Assignment-1,forge,Forge,translateAxis,Magic Number
Assignment-1,forge,Forge,translateButtons,Complex Method
Assignment-1,forge,MainInputProcessor,keyDown,Complex Conditional
Assignment-1,forge,MainInputProcessor,keyDown,Complex Method
Assignment-1,forge,MainInputProcessor,keyDown,Long Statement
Assignment-1,forge,MainInputProcessor,keyDown,Magic Number
Assignment-1,forge,MainInputProcessor,keyDown,Magic Number
Assignment-1,forge,MainInputProcessor,keyDown,Magic Number
Assignment-1,forge,MainInputProcessor,keyDown,Magic Number
Assignment-1,forge,MainInputProcessor,pan,Long Parameter List
Assignment-1,forge,GuiMobile,createLayeredImage,Empty catch clause
Assignment-1,forge,GuiMobile,createLayeredImage,Long Statement
Assignment-1,forge,GuiMobile,createLayeredImage,Long Statement
Assignment-1,forge,GuiMobile,createLayeredImage,Magic Number
Assignment-1,forge,GuiMobile,createLayeredImage,Magic Number
Assignment-1,forge,GuiMobile,createLayeredImage,Magic Number
Assignment-1,forge,GuiMobile,createLayeredImage,Magic Number
Assignment-1,forge,GuiMobile,createLayeredImage,Magic Number
Assignment-1,forge,GuiMobile,createLayeredImage,Magic Number
Assignment-1,forge,GuiMobile,draw,Empty catch clause
Assignment-1,forge,GuiMobile,draw,Long Statement
Assignment-1,forge,GuiMobile,draw,Long Statement
Assignment-1,forge,GuiMobile,draw,Magic Number
Assignment-1,forge,GuiMobile,draw,Magic Number
Assignment-1,forge,GuiMobile,draw,Magic Number
Assignment-1,forge,GuiMobile,draw,Magic Number
Assignment-1,forge,GuiMobile,draw,Magic Number
Assignment-1,forge,GuiMobile,draw,Magic Number
Assignment-1,forge,GuiMobile,showImageDialog,Long Statement
Assignment-1,forge,GuiMobile,showOptionDialog,Long Parameter List
Assignment-1,forge,GuiMobile,showOptionDialog,Long Statement
Assignment-1,forge,GuiMobile,run,Long Statement
Assignment-1,forge,GuiMobile,showInputDialog,Long Parameter List
Assignment-1,forge,GuiMobile,getChoices,Long Parameter List
Assignment-1,forge,GuiMobile,order,Long Parameter List
Assignment-1,forge,Graphics,startClip,Complex Method
Assignment-1,forge,Graphics,draw,Long Statement
Assignment-1,forge,Graphics,draw,Magic Number
Assignment-1,forge,Graphics,draw,Magic Number
Assignment-1,forge,Graphics,draw,Magic Number
Assignment-1,forge,Graphics,draw,Magic Number
Assignment-1,forge,Graphics,updateScreenPosForRotation,Complex Method
Assignment-1,forge,Graphics,drawLine,Long Parameter List
Assignment-1,forge,Graphics,drawLine,Complex Method
Assignment-1,forge,Graphics,drawLine,Long Parameter List
Assignment-1,forge,Graphics,drawLineArrow,Long Parameter List
Assignment-1,forge,Graphics,drawLineArrow,Complex Method
Assignment-1,forge,Graphics,drawLineArrow,Long Parameter List
Assignment-1,forge,Graphics,drawLineArrow,Magic Number
Assignment-1,forge,Graphics,drawLineArrow,Magic Number
Assignment-1,forge,Graphics,drawArrow,Long Parameter List
Assignment-1,forge,Graphics,drawArrow,Long Parameter List
Assignment-1,forge,Graphics,drawArrow,Long Statement
Assignment-1,forge,Graphics,drawArrow,Long Statement
Assignment-1,forge,Graphics,drawArrow,Long Statement
Assignment-1,forge,Graphics,drawArrow,Long Statement
Assignment-1,forge,Graphics,drawArrow,Long Statement
Assignment-1,forge,Graphics,drawArrow,Long Statement
Assignment-1,forge,Graphics,drawArrow,Long Statement
Assignment-1,forge,Graphics,drawArrow,Magic Number
Assignment-1,forge,Graphics,drawArrow,Magic Number
Assignment-1,forge,Graphics,drawArrow,Magic Number
Assignment-1,forge,Graphics,drawArrow,Magic Number
Assignment-1,forge,Graphics,drawArrow,Magic Number
Assignment-1,forge,Graphics,drawArrow,Magic Number
Assignment-1,forge,Graphics,drawArrow,Magic Number
Assignment-1,forge,Graphics,drawArrow,Magic Number
Assignment-1,forge,Graphics,drawArrow,Magic Number
Assignment-1,forge,Graphics,addVertex,Magic Number
Assignment-1,forge,Graphics,drawfillBorder,Long Parameter List
Assignment-1,forge,Graphics,drawRoundRect,Long Parameter List
Assignment-1,forge,Graphics,drawRoundRect,Complex Method
Assignment-1,forge,Graphics,drawRoundRect,Long Parameter List
Assignment-1,forge,Graphics,drawRoundRect,Magic Number
Assignment-1,forge,Graphics,drawRoundRect,Magic Number
Assignment-1,forge,Graphics,drawRoundRect,Magic Number
Assignment-1,forge,Graphics,drawRoundRect,Magic Number
Assignment-1,forge,Graphics,drawRoundRect,Magic Number
Assignment-1,forge,Graphics,drawRoundRect,Magic Number
Assignment-1,forge,Graphics,drawRoundRect,Magic Number
Assignment-1,forge,Graphics,drawRoundRect,Magic Number
Assignment-1,forge,Graphics,drawRoundRect,Magic Number
Assignment-1,forge,Graphics,drawRoundRect,Magic Number
Assignment-1,forge,Graphics,fillRoundRect,Long Parameter List
Assignment-1,forge,Graphics,fillRoundRect,Long Parameter List
Assignment-1,forge,Graphics,fillRoundRect,Magic Number
Assignment-1,forge,Graphics,fillRoundRect,Magic Number
Assignment-1,forge,Graphics,fillRoundRect,Magic Number
Assignment-1,forge,Graphics,fillRoundRect,Magic Number
Assignment-1,forge,Graphics,fillRoundRect,Magic Number
Assignment-1,forge,Graphics,fillRoundRect,Magic Number
Assignment-1,forge,Graphics,fillRoundRect,Magic Number
Assignment-1,forge,Graphics,fillRoundRect,Magic Number
Assignment-1,forge,Graphics,fillRoundRect,Magic Number
Assignment-1,forge,Graphics,fillRoundRect,Magic Number
Assignment-1,forge,Graphics,drawRect,Long Parameter List
Assignment-1,forge,Graphics,drawRect,Long Parameter List
Assignment-1,forge,Graphics,drawRectLines,Long Parameter List
Assignment-1,forge,Graphics,drawRectLines,Magic Number
Assignment-1,forge,Graphics,drawRectLines,Magic Number
Assignment-1,forge,Graphics,drawRectLines,Magic Number
Assignment-1,forge,Graphics,drawRectLines,Magic Number
Assignment-1,forge,Graphics,drawRectLines,Magic Number
Assignment-1,forge,Graphics,drawRectLines,Magic Number
Assignment-1,forge,Graphics,drawRectLines,Magic Number
Assignment-1,forge,Graphics,drawRectLines,Magic Number
Assignment-1,forge,Graphics,fillRect,Long Parameter List
Assignment-1,forge,Graphics,fillRect,Long Parameter List
Assignment-1,forge,Graphics,drawCircle,Long Parameter List
Assignment-1,forge,Graphics,drawCircle,Long Parameter List
Assignment-1,forge,Graphics,fillTriangle,Long Parameter List
Assignment-1,forge,Graphics,fillTriangle,Long Parameter List
Assignment-1,forge,Graphics,fillGradientRect,Long Parameter List
Assignment-1,forge,Graphics,fillGradientRect,Long Parameter List
Assignment-1,forge,Graphics,fillGradientRect,Long Parameter List
Assignment-1,forge,Graphics,fillGradientRect,Long Parameter List
Assignment-1,forge,Graphics,drawBorderImage,Long Parameter List
Assignment-1,forge,Graphics,drawBorderImage,Magic Number
Assignment-1,forge,Graphics,drawBorderImage,Magic Number
Assignment-1,forge,Graphics,drawBorderImage,Magic Number
Assignment-1,forge,Graphics,drawBorderImage,Magic Number
Assignment-1,forge,Graphics,drawborderImage,Long Parameter List
Assignment-1,forge,Graphics,drawborderImage,Magic Number
Assignment-1,forge,Graphics,drawImage,Long Parameter List
Assignment-1,forge,Graphics,drawImage,Magic Number
Assignment-1,forge,Graphics,drawImage,Magic Number
Assignment-1,forge,Graphics,drawImage,Magic Number
Assignment-1,forge,Graphics,drawAvatarImage,Long Parameter List
Assignment-1,forge,Graphics,drawAvatarImage,Magic Number
Assignment-1,forge,Graphics,drawAvatarImage,Magic Number
Assignment-1,forge,Graphics,drawCardImage,Long Parameter List
Assignment-1,forge,Graphics,drawCardImage,Magic Number
Assignment-1,forge,Graphics,drawCardImage,Long Parameter List
Assignment-1,forge,Graphics,drawCardImage,Magic Number
Assignment-1,forge,Graphics,drawCardImage,Long Parameter List
Assignment-1,forge,Graphics,drawCardImage,Magic Number
Assignment-1,forge,Graphics,drawGrayTransitionImage,Long Parameter List
Assignment-1,forge,Graphics,drawGrayTransitionImage,Magic Number
Assignment-1,forge,Graphics,drawGrayTransitionImage,Long Parameter List
Assignment-1,forge,Graphics,drawGrayTransitionImage,Magic Number
Assignment-1,forge,Graphics,drawGrayTransitionImage,Long Parameter List
Assignment-1,forge,Graphics,drawGrayTransitionImage,Magic Number
Assignment-1,forge,Graphics,drawCardRoundRect,Long Parameter List
Assignment-1,forge,Graphics,drawCardRoundRect,Long Statement
Assignment-1,forge,Graphics,drawCardRoundRect,Magic Number
Assignment-1,forge,Graphics,drawCardRoundRect,Long Parameter List
Assignment-1,forge,Graphics,drawCardRoundRect,Long Statement
Assignment-1,forge,Graphics,drawNoiseFade,Long Parameter List
Assignment-1,forge,Graphics,drawPortalFade,Long Parameter List
Assignment-1,forge,Graphics,drawHueShift,Long Parameter List
Assignment-1,forge,Graphics,drawHueShift,Long Parameter List
Assignment-1,forge,Graphics,drawChromatic,Long Parameter List
Assignment-1,forge,Graphics,drawRipple,Long Parameter List
Assignment-1,forge,Graphics,drawRipple,Magic Number
Assignment-1,forge,Graphics,drawPixelated,Long Parameter List
Assignment-1,forge,Graphics,drawPixelated,Magic Number
Assignment-1,forge,Graphics,drawPixelated,Long Parameter List
Assignment-1,forge,Graphics,drawPixelated,Magic Number
Assignment-1,forge,Graphics,drawPixelatedWarp,Long Parameter List
Assignment-1,forge,Graphics,drawPixelatedWarp,Magic Number
Assignment-1,forge,Graphics,drawPixelatedWarp,Magic Number
Assignment-1,forge,Graphics,drawPixelatedWarp,Magic Number
Assignment-1,forge,Graphics,drawWarpImage,Long Parameter List
Assignment-1,forge,Graphics,drawWarpImage,Magic Number
Assignment-1,forge,Graphics,drawWarpImage,Magic Number
Assignment-1,forge,Graphics,drawWarpImage,Long Parameter List
Assignment-1,forge,Graphics,drawWarpImage,Magic Number
Assignment-1,forge,Graphics,drawWarpImage,Magic Number
Assignment-1,forge,Graphics,drawWarpImage,Long Parameter List
Assignment-1,forge,Graphics,drawWarpImage,Magic Number
Assignment-1,forge,Graphics,drawWarpImage,Magic Number
Assignment-1,forge,Graphics,drawUnderWaterImage,Long Parameter List
Assignment-1,forge,Graphics,drawUnderWaterImage,Magic Number
Assignment-1,forge,Graphics,drawUnderWaterImage,Magic Number
Assignment-1,forge,Graphics,drawUnderWaterImage,Magic Number
Assignment-1,forge,Graphics,drawNightDay,Long Parameter List
Assignment-1,forge,Graphics,drawNightDay,Magic Number
Assignment-1,forge,Graphics,drawUnderWaterImage,Long Parameter List
Assignment-1,forge,Graphics,drawUnderWaterImage,Magic Number
Assignment-1,forge,Graphics,drawUnderWaterImage,Magic Number
Assignment-1,forge,Graphics,drawImage,Long Parameter List
Assignment-1,forge,Graphics,drawImage,Long Parameter List
Assignment-1,forge,Graphics,drawImage,Magic Number
Assignment-1,forge,Graphics,drawImage,Long Parameter List
Assignment-1,forge,Graphics,drawImage,Long Parameter List
Assignment-1,forge,Graphics,drawImage,Long Parameter List
Assignment-1,forge,Graphics,drawImage,Magic Number
Assignment-1,forge,Graphics,drawImage,Magic Number
Assignment-1,forge,Graphics,drawDeckBox,Long Parameter List
Assignment-1,forge,Graphics,drawDeckBox,Magic Number
Assignment-1,forge,Graphics,drawDeckBox,Magic Number
Assignment-1,forge,Graphics,drawDeckBox,Magic Number
Assignment-1,forge,Graphics,drawDeckBox,Magic Number
Assignment-1,forge,Graphics,drawDeckBox,Magic Number
Assignment-1,forge,Graphics,drawDeckBox,Magic Number
Assignment-1,forge,Graphics,drawDeckBox,Magic Number
Assignment-1,forge,Graphics,drawDeckBox,Magic Number
Assignment-1,forge,Graphics,drawDeckBox,Magic Number
Assignment-1,forge,Graphics,drawRepeatingImage,Long Parameter List
Assignment-1,forge,Graphics,drawFlippedImage,Long Parameter List
Assignment-1,forge,Graphics,drawImageWithTransforms,Long Parameter List
Assignment-1,forge,Graphics,drawImageWithTransforms,Long Statement
Assignment-1,forge,Graphics,drawImageWithTransforms,Magic Number
Assignment-1,forge,Graphics,drawImageWithTransforms,Magic Number
Assignment-1,forge,Graphics,startRotateTransform,Long Statement
Assignment-1,forge,Graphics,drawRotatedImage,Long Parameter List
Assignment-1,forge,Graphics,drawRotatedImage,Long Parameter List
Assignment-1,forge,Graphics,drawRotatedImage,Long Statement
Assignment-1,forge,Graphics,drawRotatedImage,Long Parameter List
Assignment-1,forge,Graphics,drawRotatedImage,Long Statement
Assignment-1,forge,Graphics,drawText,Complex Conditional
Assignment-1,forge,Graphics,drawText,Long Parameter List
Assignment-1,forge,Graphics,drawText,Long Parameter List
Assignment-1,forge,Graphics,drawText,Complex Method
Assignment-1,forge,Graphics,drawText,Long Parameter List
Assignment-1,forge,Graphics,drawText,Magic Number
Assignment-1,forge,Graphics,drawOutlinedText,Long Parameter List
Assignment-1,forge,Graphics,drawOutlinedText,Long Parameter List
Assignment-1,forge,Graphics,drawOutlinedText,Magic Number
Assignment-1,forge,Graphics,drawOutlinedText,Magic Number
Assignment-1,forge,Graphics,drawOutlinedText,Magic Number
Assignment-1,forge,Graphics,drawOutlinedText,Magic Number
Assignment-1,forge,Graphics,drawOutlinedText,Magic Number
Assignment-1,forge,Graphics,drawOutlinedText,Magic Number
Assignment-1,forge,Graphics,drawOutlinedText,Magic Number
Assignment-1,forge,Graphics,drawOutlinedText,Magic Number
Assignment-1,forge,Graphics,drawOutlinedText,Magic Number
Assignment-1,forge,Graphics,borderLining,Magic Number
Assignment-1,forge,Graphics,borderLining,Magic Number
Assignment-1,forge,Graphics,borderLining,Magic Number
Assignment-1,forge,Graphics,borderLining,Magic Number
Assignment-1,forge,Graphics,borderLining,Magic Number
Assignment-1,forge,Graphics,borderLining,Magic Number
Assignment-1,forge,Graphics,borderLining,Magic Number
Assignment-1,forge,Graphics,borderLining,Magic Number
Assignment-1,forge,Graphics,borderLining,Magic Number
Assignment-1,forge,Graphics,borderLining,Magic Number
Assignment-1,forge,Graphics,borderLining,Magic Number
Assignment-1,forge,Graphics,borderLining,Magic Number
Assignment-1,forge,Graphics,borderLining,Magic Number
Assignment-1,forge,Graphics,setVideoMode,Magic Number
Assignment-1,forge,Graphics,setVideoMode,Magic Number
Assignment-1,forge,Graphics,setVideoMode,Magic Number
Assignment-1,forge,Graphics,setVideoMode,Magic Number
Assignment-1,forge,Graphics,setVideoMode,Magic Number
Assignment-1,forge,Graphics,setVideoMode,Magic Number
Assignment-1,forge,Graphics,setVideoMode,Magic Number
Assignment-1,forge,Graphics,setVideoMode,Magic Number
Assignment-1,forge,Graphics,setVideoMode,Magic Number
Assignment-1,forge,Graphics,setVideoMode,Magic Number
Assignment-1,forge,Graphics,setVideoMode,Magic Number
Assignment-1,forge,Graphics,setVideoMode,Magic Number
Assignment-1,forge,Graphics,setVideoMode,Missing default
Assignment-1,forge,FrameRate,resize,Magic Number
Assignment-1,forge,FrameRate,resize,Magic Number
Assignment-1,forge,FrameRate,update,Magic Number
Assignment-1,forge,FrameRate,render,Long Statement
Assignment-1,forge,FrameRate,render,Magic Number
Assignment-1,forge,FrameRate,render,Magic Number
Assignment-1,forge.card,CardFace,setPtText,Magic Number
Assignment-1,forge.card,CardFace,assignMissingFields,Complex Method
Assignment-1,forge.card,ColorSet,getOrderWeight,Magic Number
Assignment-1,forge.card,ColorSet,getOrderWeight,Magic Number
Assignment-1,forge.card,ColorSet,getOrderWeight,Magic Number
Assignment-1,forge.card,ColorSet,getOrderWeight,Magic Number
Assignment-1,forge.card,ColorSet,getOrderWeight,Magic Number
Assignment-1,forge.card,ICardDatabase,getCardFromSet,Long Parameter List
Assignment-1,forge.card,ICardDatabase,getCardFromSet,Long Parameter List
Assignment-1,forge.card,ICardDatabase,getCardFromEditionsReleasedBefore,Long Parameter List
Assignment-1,forge.card,ICardDatabase,getCardFromEditionsReleasedAfter,Long Parameter List
