Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT
Assignment-1,forge,Shaders,55,55,0,0,179,0,0,0,-1.0,1,0
Assignment-1,forge,Forge,82,45,106,94,1356,386,0,0,0.16037735849056603,297,31
Assignment-1,forge,KeyInputAdapter,0,0,10,10,31,16,0,0,-1.0,6,0
Assignment-1,forge,MainInputProcessor,4,0,16,15,267,68,0,0,0.0,1,4
Assignment-1,forge,GuiMobile,3,0,52,51,222,66,0,0,0.9230769230769231,0,21
Assignment-1,forge,Graphics,27,0,103,99,1293,259,0,0,0.10679611650485436,270,10
Assignment-1,forge,FrameRate,8,0,5,5,48,6,0,0,0.0,1,0
Assignment-1,forge,CachedCardImage,2,0,7,7,28,8,0,0,0.42857142857142855,0,5
Assignment-1,forge,GameCommand,2,0,1,1,16,1,0,0,-1.0,25,1
Assignment-1,forge.card,PrintSheet,2,0,17,15,115,36,0,0,0.23529411764705882,5,8
Assignment-1,forge.card,Reader,0,0,2,1,8,2,0,0,-1.0,1,1
Assignment-1,forge.card,CardFace,25,0,49,28,281,96,0,2,0.04081632653061224,4,5
Assignment-1,forge.card,ColorSet,8,1,39,36,325,56,0,0,0.10256410256410256,88,4
Assignment-1,forge.card,ColorIterator,1,0,3,2,23,6,0,0,0.0,0,1
Assignment-1,forge.card,CardTypeView,0,0,50,5,52,50,1,0,-1.0,6,1
Assignment-1,forge.card,ICardDatabase,0,0,37,0,42,37,1,0,-1.0,0,2
Assignment-1,forge.card,ICardCharacteristics,0,0,12,0,14,12,2,0,-1.0,0,0
Assignment-1,forge.card,CardFacePredicates,10,5,13,10,110,26,0,0,0.6153846153846154,1,4
Assignment-1,forge.card,PredicateCoreType,2,0,2,2,14,3,0,0,0.0,0,2
Assignment-1,forge.card,PredicateSuperType,2,0,2,2,11,2,0,0,0.0,0,2
Assignment-1,forge.card,ValidPredicate,1,0,5,2,50,17,0,0,0.0,2,3
Assignment-1,forge.card,DeckHints,3,0,10,7,198,44,0,0,0.0,7,7
Assignment-1,forge.card,CardType,43,29,107,103,835,236,0,1,0.11214953271028037,57,7
Assignment-1,forge.card,Constant,15,15,0,0,22,0,0,0,-1.0,3,1
Assignment-1,forge.card,Predicates,10,10,0,0,12,0,0,0,-1.0,1,0
Assignment-1,forge.card,ICardRawAbilites,0,0,8,0,10,8,1,0,-1.0,0,0
Assignment-1,forge.card,CardRulesPredicates,50,43,34,30,388,75,0,0,0.5,31,12
Assignment-1,forge.card,LeafString,2,0,5,2,81,28,0,0,0.0,2,4
Assignment-1,forge.card,LeafColor,2,0,2,2,30,9,0,0,0.0,2,2
Assignment-1,forge.card,LeafNumber,3,0,3,2,46,13,0,0,0.0,2,2
Assignment-1,forge.card,CardDb,30,13,108,88,886,235,0,1,0.09259259259259259,34,15
Assignment-1,forge.card,CardRequest,6,6,16,8,144,32,0,0,0.0,3,4
Assignment-1,forge.card,Editor,1,0,4,4,57,15,0,0,0.0,1,4
Assignment-1,forge.card,CardRules,36,0,73,69,733,197,0,1,0.0958904109589041,30,11
Assignment-1,forge.card,Reader,19,0,11,10,293,80,0,0,0.36363636363636365,0,7
Assignment-1,forge.card,ManaCostParser,2,0,5,5,30,7,0,0,0.4,0,0
Assignment-1,forge.card,ICardFace,0,0,4,0,9,4,1,1,-1.0,11,0
Assignment-1,forge.card,CardEdition,57,14,83,74,705,158,0,0,0.1686746987951807,86,11
Assignment-1,forge.card,CardInSet,6,5,4,4,80,13,0,0,0.0,6,1
Assignment-1,forge.card,Reader,2,1,5,2,156,30,0,0,0.6,0,4
Assignment-1,forge.card,Collection,3,1,14,13,94,30,0,0,0.5,29,7
Assignment-1,forge.card,Predicates,5,5,2,2,29,4,0,0,0.0,0,3
Assignment-1,forge.card,CardAiHints,6,0,8,8,76,11,0,0,0.0,3,1
Assignment-1,forge.card,CardChangedType,4,0,11,11,47,11,0,0,0.0,0,1
Assignment-1,forge.card,MagicColor,27,24,15,12,211,52,0,0,0.3333333333333333,94,2
Assignment-1,forge.card,Constant,13,13,1,0,50,1,0,0,0.0,0,0
Assignment-1,forge.card,CardDbPerformanceTests,1,0,5,5,62,16,0,2,0.0,0,2
Assignment-1,forge.card,CardEditionCollectionCardMockTestCase,0,0,2,2,38,4,0,1,-1.0,0,5
Assignment-1,forge.card,CardMockTestCase,1,1,9,1,110,13,3,0,0.3333333333333333,2,12
Assignment-1,forge.card,CardDbCardMockTestCase,49,0,56,49,1502,92,2,1,0.0,0,8
Assignment-1,forge.card,CardDbWithNoImageCardDbMockTestCase,0,0,3,2,20,3,0,2,-1.0,0,3
Assignment-1,forge.card,CardDbLazyCardLoadingCardMockTestCase,1,0,6,5,67,7,0,1,0.3333333333333333,0,5
Assignment-1,forge.card,CardRequestTest,8,0,14,12,183,14,0,0,0.21428571428571427,0,3
Assignment-1,forge.card,LegacyCardDb,9,8,19,15,259,70,0,0,0.15789473684210525,3,6
Assignment-1,forge.card,LegacyCardRequest,4,4,2,1,32,5,0,0,1.0,1,1
Assignment-1,forge.card,GameEntityPicker,3,0,12,6,90,26,0,0,0.4166666666666667,1,11
Assignment-1,forge.card,PickerTab,2,0,6,2,58,18,0,0,0.5,0,9
Assignment-1,forge.card,ColorSetImage,2,0,4,4,24,5,0,0,0.5,0,4
Assignment-1,forge.card,CardFaceSymbols,1,1,9,9,180,26,0,0,0.5555555555555556,18,7
Assignment-1,forge.card,CardImage,2,0,4,4,42,12,0,0,0.0,0,7
Assignment-1,forge.card,CardZoom,20,0,24,14,378,93,0,0,0.20833333333333334,38,20
Assignment-1,forge.card,ActivateHandler,0,0,3,0,5,3,0,0,-1.0,2,0
Assignment-1,forge.card,CardAvatarImage,2,0,5,5,40,8,0,0,0.4,0,5
Assignment-1,forge.card,CardListPreview,2,1,5,4,37,10,0,0,0.0,4,2
Assignment-1,forge.card,CardRenderer,20,9,52,36,1235,268,0,0,0.2692307692307692,41,31
Assignment-1,forge.card,RendererCachedCardImage,1,0,4,4,21,5,0,0,0.0,0,4
Assignment-1,forge.card,CardImageRenderer,16,1,28,11,989,246,0,0,0.21428571428571427,10,24
Assignment-1,forge.card,CachedCardImageRenderer,0,0,2,2,8,2,0,0,-1.0,0,1
Assignment-1,forge.card.mana,ManaCost,13,6,30,26,317,75,0,0,0.06666666666666667,63,3
Assignment-1,forge.card.mana,ManaCostParser,3,0,6,6,46,8,0,1,0.3333333333333333,5,2
Assignment-1,forge.card.mana,IParserManaCost,0,0,1,0,6,1,1,0,-1.0,1,0
Assignment-1,forge.card.mana,ManaAtom,15,15,5,5,96,28,0,0,0.4,27,2
Assignment-1,forge.util,IterableUtil,0,0,12,12,52,14,0,0,-1.0,55,0
Assignment-1,forge.util,BuildInfo,1,0,7,5,54,12,0,0,0.42857142857142855,12,2
Assignment-1,forge.util,NameGenerator,8,0,4,3,114,16,0,0,0.0,7,2
Assignment-1,forge.util,ThreadUtil,5,0,13,11,76,14,0,0,0.6153846153846154,28,1
Assignment-1,forge.util,WorkerThreadFactory,2,0,2,2,10,2,0,0,0.0,0,0
Assignment-1,forge.util,LocalizationChangeObserver,0,0,1,0,3,1,0,0,-1.0,1,0
Assignment-1,forge.util,Visitor,0,0,2,2,16,4,0,0,-1.0,0,0
Assignment-1,forge.util,FileSection,7,4,12,11,122,24,1,0,0.16666666666666666,18,1
Assignment-1,forge.util,MyRandom,1,0,4,4,40,5,0,0,0.0,117,1
Assignment-1,forge.util,IItemReader,0,0,5,0,11,5,1,0,-1.0,2,0
Assignment-1,forge.util,FileSectionManual,0,0,1,1,13,1,0,1,-1.0,1,0
Assignment-1,forge.util,ITriggerEvent,0,0,3,0,5,3,0,0,-1.0,22,0
Assignment-1,forge.util,Lang,7,2,26,25,172,43,0,0,0.5,116,1
Assignment-1,forge.util,BinaryUtil,0,0,4,4,38,10,0,0,-1.0,2,0
Assignment-1,forge.util,FileUtil,0,0,24,23,233,41,0,0,-1.0,61,3
Assignment-1,forge.util,StreamUtil,5,0,17,13,92,19,0,0,0.6470588235294118,5,1
Assignment-1,forge.util,RandomCollector,2,0,5,4,22,5,2,0,0.8,0,0
Assignment-1,forge.util,RandomCollectorSingle,0,0,2,1,8,2,0,1,-1.0,0,0
Assignment-1,forge.util,RandomCollectorMulti,0,0,2,1,8,2,0,1,-1.0,0,0
Assignment-1,forge.util,RandomReservoir,3,0,2,2,18,4,0,0,0.0,0,1
Assignment-1,forge.util,BagRandomizer,3,0,7,6,54,12,0,0,0.2857142857142857,1,0
Assignment-1,forge.util,BagRandomizerIterator,0,0,2,2,8,2,0,0,-1.0,0,0
Assignment-1,forge.util,ItemPoolSorter,3,1,2,2,34,4,0,0,0.0,5,1
Assignment-1,forge.util,RuntimeVersion,15,0,10,9,100,24,0,0,0.2,0,0
Assignment-1,forge.util,Localizer,9,2,14,12,152,27,0,0,0.42857142857142855,382,2
Assignment-1,forge.util,Language,2,2,0,0,4,0,0,0,-1.0,0,0
Assignment-1,forge.util,Settable,1,0,3,3,27,3,0,0,0.6666666666666666,2,0
Assignment-1,forge.util,IHasName,0,0,1,0,6,1,1,0,-1.0,1,0
Assignment-1,forge.util,IItemSerializer,0,0,3,0,17,3,0,1,-1.0,1,0
Assignment-1,forge.util,DateUtil,0,0,1,1,14,1,0,0,-1.0,2,0
Assignment-1,forge.util,EnumUtil,0,0,3,2,36,7,0,0,-1.0,0,0
Assignment-1,forge.util,CardTranslation,9,0,19,12,330,82,0,0,0.0,56,5
Assignment-1,forge.util,ItemPool,3,0,35,34,200,62,0,0,0.37142857142857144,36,1
Assignment-1,forge.util,DebugTrace,0,0,1,1,5,1,0,0,-1.0,0,0
Assignment-1,forge.util,ImageUtil,0,0,10,10,182,51,0,0,-1.0,18,8
Assignment-1,forge.util,RSSReader,0,0,2,2,59,12,0,0,-1.0,2,1
Assignment-1,forge.util,Aggregates,0,0,18,18,233,66,0,0,-1.0,62,1
Assignment-1,forge.util,ComparatorUtil,0,0,2,1,48,11,0,0,-1.0,0,0
Assignment-1,forge.util,ReflectionUtil,0,0,4,3,52,7,0,0,-1.0,3,1
Assignment-1,forge.util,LineReader,2,0,10,9,89,13,0,0,0.5,0,0
Assignment-1,forge.util,LineIterator,1,0,4,4,34,6,0,0,0.5,0,0
Assignment-1,forge.util,PredicateString,1,0,9,8,83,13,0,0,0.0,2,0
Assignment-1,forge.util,ITranslatable,0,0,4,0,14,4,0,1,-1.0,3,0
Assignment-1,forge.util,TextUtil,6,1,33,33,341,80,0,0,0.7272727272727273,151,3
Assignment-1,forge.util,Base64Coder,5,0,15,14,250,28,0,0,0.2,1,2
Assignment-1,forge.util,SwingImageFetcher,3,0,5,2,99,17,0,1,0.4,1,3
Assignment-1,forge.util,SwingDownloadTask,3,0,4,2,94,16,0,0,0.5,0,3
Assignment-1,forge.util,PhysicsObject,4,0,9,9,66,15,0,0,0.2222222222222222,6,0
Assignment-1,forge.util,BlurUtils,0,0,10,10,236,30,0,0,-1.0,2,1
Assignment-1,forge.util,Utils,14,5,9,9,72,13,0,0,0.7777777777777778,73,1
Assignment-1,forge.util,TextBounds,2,2,2,2,10,2,0,0,1.0,14,0
Assignment-1,forge.util,LibGDXImageFetcher,3,0,5,1,88,14,0,1,0.4,0,5
Assignment-1,forge.util,LibGDXDownloadTask,3,0,4,1,83,13,0,0,0.5,0,5
Assignment-1,forge.util,LayoutHelper,7,0,19,19,172,28,0,0,0.10526315789473684,0,2
Assignment-1,forge.util,EnumMapUtil,0,0,2,1,11,3,0,0,-1.0,0,0
Assignment-1,forge.util,MessageUtil,0,0,6,5,77,29,0,0,-1.0,2,9
Assignment-1,forge.util,Expressions,0,0,2,2,63,16,0,0,-1.0,26,0
Assignment-1,forge.util,WaitCallback,2,0,2,2,25,2,0,1,0.0,10,2
Assignment-1,forge.util,Lock,0,0,0,0,2,0,0,0,-1.0,2,0
Assignment-1,forge.util,ZipUtil,1,1,4,2,79,16,0,0,0.5,2,1
Assignment-1,forge.util,ImageFetcher,5,0,5,1,260,62,2,0,0.4,7,14
Assignment-1,forge.util,Callback,0,0,1,0,3,1,1,0,-1.0,39,0
Assignment-1,forge.util,WaitRunnable,1,0,1,1,23,1,0,0,0.0,1,3
Assignment-1,forge.util,Lock,0,0,0,0,2,0,0,0,-1.0,0,0
Assignment-1,forge.util,OperatingSystem,1,0,5,5,17,5,0,0,0.4,3,0
Assignment-1,forge.util,JVMOptions,2,0,2,2,16,5,0,0,0.0,0,0
Assignment-1,forge.util,AbstractGeneticAlgorithm,4,1,10,4,59,18,0,0,0.0,0,1
Assignment-1,forge.util,HttpUtil,1,0,5,4,137,10,0,0,0.8,2,3
Assignment-1,forge.util,RestartUtil,1,1,2,2,52,6,0,0,1.0,0,0
Assignment-1,forge.util,XmlUtil,0,0,6,6,65,10,0,0,-1.0,9,0
Assignment-1,forge.util,WordUtil,1,0,3,2,73,16,0,0,1.0,3,0
Assignment-1,forge.util,XmlWriter,4,0,17,16,99,25,0,0,0.11764705882352941,9,4
Assignment-1,forge.util,IXmlWritable,0,0,1,0,3,1,0,0,-1.0,1,1
Assignment-1,forge.util,Callback,0,0,1,1,3,1,0,0,-1.0,0,0
Assignment-1,forge.util,GuiDisplayUtil,0,0,4,3,14,4,0,0,-1.0,3,3
Assignment-1,forge.util,MultiplexOutputStream,1,0,3,3,35,6,0,0,0.0,0,0
Assignment-1,forge.util,XmlReader,5,0,29,25,221,57,0,0,0.1724137931034483,10,6
Assignment-1,forge.util,PaperCardBuilder,2,0,2,1,18,3,0,1,0.0,1,3
Assignment-1,forge.util,GenericBuilder,1,0,2,1,15,2,0,1,0.0,1,1
Assignment-1,forge.util,Evaluator,1,0,3,3,10,3,2,0,0.0,2,0
Assignment-1,forge.util,IgnoringXStream,1,0,2,1,18,4,0,0,0.0,0,0
Assignment-1,forge.util.maps,HashMapOfLists,2,0,7,7,34,8,0,1,0.0,0,0
Assignment-1,forge.util.maps,EnumMapToAmount,1,0,11,11,64,17,0,1,0.6363636363636364,0,0
Assignment-1,forge.util.maps,MapToAmountUtil,1,0,7,6,102,24,0,0,1.0,3,2
Assignment-1,forge.util.maps,LinkedHashMapToAmount,1,0,14,14,85,21,0,1,0.5714285714285714,0,1
Assignment-1,forge.util.maps,MapToAmount,0,0,8,0,13,8,2,0,-1.0,8,0
Assignment-1,forge.util.maps,MapOfLists,0,0,3,0,5,3,2,0,-1.0,8,0
Assignment-1,forge.util.maps,EnumMapOfLists,2,0,6,6,30,7,0,1,0.0,0,0
Assignment-1,forge.util.collect,FCollection,5,0,86,85,519,113,1,1,0.5116279069767442,46,2
Assignment-1,forge.util.collect,EmptyFCollection,1,0,36,36,116,38,0,2,1.0,0,0
Assignment-1,forge.util.collect,FCollectionReader,1,0,4,0,25,7,0,0,0.0,1,2
Assignment-1,forge.util.collect,FCollectionView,0,0,14,0,60,14,1,0,-1.0,70,0
Assignment-1,forge.util.storage,StorageReaderFolder,2,1,8,6,86,15,0,1,0.25,0,1
Assignment-1,forge.util.storage,StorageNestedFolders,1,0,3,3,23,5,0,2,0.0,0,1
Assignment-1,forge.util.storage,StorageReaderFileSections,1,0,8,5,75,17,0,1,0.375,0,1
Assignment-1,forge.util.storage,StorageReaderFile,1,0,8,5,54,13,0,1,0.375,0,1
Assignment-1,forge.util.storage,StorageBase,4,3,18,18,83,22,3,1,0.4444444444444444,1,3
Assignment-1,forge.util.storage,StorageExtendable,0,0,3,3,17,3,0,2,-1.0,0,1
Assignment-1,forge.util.storage,StorageImmediatelySerialized,3,0,9,8,77,16,0,2,0.2222222222222222,0,3
Assignment-1,forge.util.storage,StorageReaderRecursiveFolderWithUserFolder,3,1,9,6,99,18,0,1,0.2222222222222222,0,1
Assignment-1,forge.util.storage,StorageReaderBase,1,0,4,3,15,4,4,0,1.0,0,0
Assignment-1,forge.util.storage,IStorage,0,0,13,0,15,13,1,0,-1.0,29,0
Assignment-1,forge.util.lang,LangJapanese,0,0,4,4,16,5,0,0,-1.0,0,0
Assignment-1,forge.util.lang,LangItalian,0,0,3,3,14,4,0,0,-1.0,0,0
Assignment-1,forge.util.lang,LangEnglish,0,0,3,3,22,7,0,0,-1.0,0,0
Assignment-1,forge.util.lang,LangFrench,0,0,3,3,22,6,0,0,-1.0,0,0
Assignment-1,forge.util.lang,LangSpanish,0,0,3,3,17,5,0,0,-1.0,0,0
Assignment-1,forge.util.lang,LangGerman,0,0,3,3,17,5,0,0,-1.0,0,0
Assignment-1,forge.util.lang,LangChinese,0,0,4,4,14,4,0,0,-1.0,0,0
Assignment-1,forge.item,SealedTemplateWithSlots,1,0,2,2,10,2,0,1,0.0,0,0
Assignment-1,forge.item,ItemPredicate,6,6,0,0,20,0,0,0,-1.0,2,0
Assignment-1,forge.item,IPaperCard,5,0,26,0,40,27,2,1,-1.0,34,0
Assignment-1,forge.item,BoosterSlot,4,0,5,4,46,11,0,0,0.0,2,0
Assignment-1,forge.item,SealedTemplate,3,1,14,13,82,22,3,0,0.42857142857142855,14,4
Assignment-1,forge.item,Reader,0,0,3,2,18,4,0,0,-1.0,2,2
Assignment-1,forge.item,BoxedProduct,3,0,6,6,39,10,2,3,0.0,0,1
Assignment-1,forge.item,PaperCardPredicates,29,23,16,11,125,25,0,0,0.375,45,2
Assignment-1,forge.item,PredicateColor,1,0,2,1,21,7,0,0,0.0,0,1
Assignment-1,forge.item,PredicateRarity,1,0,2,1,9,2,0,0,0.0,0,1
Assignment-1,forge.item,PredicateSets,2,0,2,1,11,2,0,0,0.0,0,1
Assignment-1,forge.item,PredicateName,1,0,2,1,10,2,0,0,0.0,0,1
Assignment-1,forge.item,PredicateNames,1,0,2,1,16,4,0,0,0.0,0,1
Assignment-1,forge.item,BoosterBox,2,0,10,9,54,16,0,4,0.3,1,5
Assignment-1,forge.item,Template,1,0,3,2,25,8,0,1,0.0,3,1
Assignment-1,forge.item,BoosterPack,2,0,11,11,66,18,0,3,0.45454545454545453,6,8
Assignment-1,forge.item,InventoryItemFromSet,0,0,1,0,10,1,4,1,-1.0,2,0
Assignment-1,forge.item,FatPack,2,0,11,10,62,18,0,4,0.18181818181818182,1,6
Assignment-1,forge.item,Template,1,0,3,2,25,8,0,1,0.0,0,1
Assignment-1,forge.item,SealedProduct,5,1,12,9,65,17,3,2,0.16666666666666666,4,6
Assignment-1,forge.item,PaperToken,6,0,33,33,195,57,0,2,0.30303030303030304,9,4
Assignment-1,forge.item,TournamentPack,0,0,7,6,24,7,0,3,-1.0,0,5
Assignment-1,forge.item,PaperCard,25,1,48,45,297,92,0,2,0.125,200,8
Assignment-1,forge.item,PreconDeck,4,0,13,10,60,13,0,2,0.5384615384615384,4,8
Assignment-1,forge.item,Reader,0,0,4,1,21,4,0,0,-1.0,0,6
Assignment-1,forge.item,InventoryItem,0,0,3,0,10,3,2,0,-1.0,20,0
Assignment-1,forge.item,DeckHintsTest,0,0,9,0,119,10,0,0,-1.0,0,7
Assignment-1,forge.item.generation,IUnOpenedProduct,0,0,1,0,6,1,2,0,-1.0,4,0
Assignment-1,forge.item.generation,BoosterGenerator,1,0,11,6,570,142,0,0,0.18181818181818182,7,9
Assignment-1,forge.item.generation,BoosterSlots,13,13,0,0,15,0,0,0,-1.0,5,0
Assignment-1,forge.item.generation,UnOpenedProduct,3,0,9,7,50,14,0,1,0.3333333333333333,4,6
Assignment-1,forge.item.generation,ChaosBoosterSupplier,1,0,2,2,11,2,0,1,0.0,0,3
Assignment-1,forge.deck,DeckRecognizer,74,49,75,48,762,209,0,0,0.12,5,11
Assignment-1,forge.deck,Token,14,6,32,28,217,53,0,0,0.15625,5,4
Assignment-1,forge.deck,TokenKey,7,6,3,3,63,11,0,0,0.0,3,3
Assignment-1,forge.deck,CardPool,2,0,25,24,326,72,0,0,0.44,73,8
Assignment-1,forge.deck,DeckGroup,3,0,13,11,89,17,0,1,0.46153846153846156,16,3
Assignment-1,forge.deck,DeckBase,4,0,19,17,105,22,2,0,0.15789473684210525,3,1
Assignment-1,forge.deck,Deck,12,2,45,34,479,135,0,1,0.28888888888888886,129,11
Assignment-1,forge.deck,UnplayableAICards,2,2,1,0,22,6,0,0,0.0,1,1
Assignment-1,forge.deck,Validators,9,0,0,0,47,0,0,0,-1.0,0,0
Assignment-1,forge.deck,DeckRecognizerTest,3,0,83,0,2539,117,0,0,0.963855421686747,0,11
Assignment-1,forge.deck,FSideboardDialog,4,0,27,6,140,35,0,0,0.37037037037037035,1,10
Assignment-1,forge.deck,SideboardTabs,2,0,24,4,117,30,0,0,0.3333333333333333,3,10
Assignment-1,forge.deck,TabPageBase,2,0,9,1,48,11,2,0,0.3333333333333333,0,9
Assignment-1,forge.deck,SideboardPage,0,0,5,1,25,7,0,1,-1.0,0,5
Assignment-1,forge.deck,MainDeckPage,0,0,5,1,25,7,0,1,-1.0,0,5
Assignment-1,forge.deck,AddBasicLandsDialog,26,0,15,5,325,54,0,0,0.13333333333333333,2,20
Assignment-1,forge.deck,LandPanel,10,0,9,3,117,23,0,0,0.2222222222222222,1,12
Assignment-1,forge.deck,LandCardPanel,0,0,4,3,24,7,0,0,-1.0,2,3
Assignment-1,forge.deck,FDeckEditor,37,2,173,87,1906,617,0,0,0.35260115606936415,10,29
Assignment-1,forge.deck,DeckHeader,0,0,4,2,20,4,0,0,-1.0,1,2
Assignment-1,forge.deck,DeckEditorPage,0,0,4,1,11,4,1,0,-1.0,0,1
Assignment-1,forge.deck,CardManagerPage,2,0,32,8,355,109,2,1,0.21875,3,12
Assignment-1,forge.deck,CatalogPage,2,0,14,6,273,73,1,2,0.6428571428571429,1,10
Assignment-1,forge.deck,DeckSectionPage,2,0,26,17,297,91,0,2,0.5,5,10
Assignment-1,forge.deck,DraftPackPage,0,0,7,3,51,11,0,3,-1.0,0,6
Assignment-1,forge.deck,DeckController,8,0,24,20,235,57,0,0,0.0,2,7
Assignment-1,forge.deck,FDeckImportDialog,14,0,7,4,148,26,0,0,0.0,0,13
Assignment-1,forge.deck,FVanguardChooser,8,1,5,3,77,10,0,0,0.0,1,8
Assignment-1,forge.deck,FDeckChooser,27,1,38,19,1352,321,0,0,0.15789473684210525,12,48
Assignment-1,forge.deck,FDeckViewer,5,0,11,5,108,23,0,0,0.2727272727272727,11,13
Assignment-1,forge.deck,CardRelationMatrixGenerator,4,3,8,8,177,35,0,0,0.5,5,10
Assignment-1,forge.deck,ArrayIndexComparator,1,0,3,3,16,4,0,0,0.0,1,0
Assignment-1,forge.deck,NetDeckArchiveVintage,5,1,9,6,93,26,0,0,0.4444444444444444,3,9
Assignment-1,forge.deck,DeckImportController,14,0,31,23,346,107,0,0,0.0,1,15
Assignment-1,forge.deck,NetDeckCategory,7,1,9,6,115,34,0,0,0.4444444444444444,4,9
Assignment-1,forge.deck,CardArchetypeLDAGenerator,2,2,5,5,106,22,0,0,0.0,9,4
Assignment-1,forge.deck,NetDeckArchiveStandard,5,1,9,6,93,26,0,0,0.4444444444444444,3,9
Assignment-1,forge.deck,ArchetypeDeckGenerator,5,0,11,10,58,14,0,1,0.2727272727272727,2,8
Assignment-1,forge.deck,NetDeckArchiveModern,5,1,9,6,93,26,0,0,0.4444444444444444,3,9
Assignment-1,forge.deck,CardThemedDeckGenerator,4,0,10,9,50,12,0,1,0.3,1,6
Assignment-1,forge.deck,RandomDeckGenerator,4,0,12,7,177,54,0,1,0.25,3,9
Assignment-1,forge.deck,DeckGeneratorTheme,6,0,7,3,161,29,0,0,0.8571428571428571,2,5
Assignment-1,forge.deck,Grp,3,0,0,0,14,0,0,0,-1.0,1,0
Assignment-1,forge.deck,NetDeckArchivePauper,5,1,9,6,93,26,0,0,0.4444444444444444,3,9
Assignment-1,forge.deck,DeckProxy,22,7,77,73,697,188,6,0,0.22077922077922077,33,22
Assignment-1,forge.deck,ThemeDeckGenerator,1,0,5,5,28,6,0,1,0.4,0,3
Assignment-1,forge.deck,NetDeckArchivePioneer,5,1,9,6,93,26,0,0,0.4444444444444444,3,9
Assignment-1,forge.deck,ColorDeckGenerator,5,0,8,7,48,11,0,1,0.5,2,4
Assignment-1,forge.deck,DeckgenUtil,3,0,33,32,781,164,0,0,0.5454545454545454,22,23
Assignment-1,forge.deck,CommanderDeckGenerator,5,0,11,10,79,17,0,1,0.2727272727272727,3,11
Assignment-1,forge.deck,NetDeckArchiveLegacy,5,1,9,6,93,26,0,0,0.4444444444444444,3,9
Assignment-1,forge.deck,NetDeckArchiveBlock,5,1,9,6,93,26,0,0,0.4444444444444444,3,9
Assignment-1,forge.deck.io,DeckStorage,4,2,9,6,58,14,0,0,0.3333333333333333,20,5
Assignment-1,forge.deck.io,DeckFileHeader,18,7,10,9,86,17,0,0,0.0,2,2
Assignment-1,forge.deck.io,DeckSerializer,0,0,6,4,74,18,0,0,-1.0,19,7
Assignment-1,forge.deck.io,DeckGroupSerializer,3,1,7,5,78,12,0,0,0.2857142857142857,1,4
Assignment-1,forge.deck.io,DeckPreferences,12,0,26,24,187,40,0,0,0.07692307692307693,19,4
Assignment-1,forge.deck.io,CardThemedMatrixIO,1,1,5,5,37,5,0,0,0.4,2,3
Assignment-1,forge.deck.io,DeckRecords,5,0,3,2,35,9,0,0,1.0,0,2
