Abandon Hope|TMP=66
Aether Figment|ZEN=20
Aether Flash|6ED=106
Aether Flash|7ED=94
Aether Flash|WTH=123
Aether Membrane|PLC=54
Aether Mutation|APC=54
Aether Rift|INV=104
Aether Shockwave|SOK=21
Aether Snap|DST=126
Aether Spellbomb|MRD=30
Aether Sting|UDS=44
Aether Storm|5ED=78
Aether Storm|HML=78
Aether Tide|EXO=28
Aether Tradewinds|WWK=13
Aether Web|TSP=15
Aetherflame Wall|TSP=14
Aetherize|GTC=28
Aethermage's Touch|DIS=46
Aetherplasm|GPT=25
Aethersnipe|LRW=13
Afflicted Deserter|DKA=20
Afflict|10E=15
Afflict|ODY=28
Afiya Grove|MIR=123
Afterlife|COM=20
Afterlife|MIR=63
Afterlife|MMQ=40
Aftershock|TMP=51
Agadeem Occultist|WWK=37
Ageless Entity|DST=168
Ageless Sentinels|SCG=76
Agent of Masks|GPT=26
Agent of Shauku|PCY=28
Agent of Stromgald|ALL=42
Aggravated Assault|ONS=244
Aggravate|AVR=18
Aggression|ICE=60
Aggressive Urge|10E=15
Aggressive Urge|INV=30
Agility|MIR=42
Agonizing Demise|INV=30
Agonizing Memories|10E=21
Agonizing Memories|6ED=48
Agonizing Memories|7ED=44
Agonizing Memories|WTH=69
Agony Warp|ALA=15
Agoraphobia|GTC=20
Agrus Kos, Wojek Veteran|RAV=42
Air Bladder|NMS=32
Air Elemental|10E=19
Air Elemental|2ED=224
Air Elemental|3ED=88
Air Elemental|4ED=88
Air Elemental|5ED=69
Air Elemental|6ED=46
Air Elemental|7ED=44
Air Elemental|8ED=42
Air Elemental|9ED=22
Air Elemental|LEA=3200
Air Elemental|LEB=2384
Air Elemental|PO2=62
Air Elemental|S99=62
Air Servant|M11=19
Airborne Aid|ONS=26
Airdrop Condor|ONS=40
Aisling Leprechaun|LEG=84
Ajani Goldmane|LRW=603
Ajani Goldmane|M11=610
Ajani Vengeant|ALA=478
Ajani's Mantra|M11=14
Ajani's Pridemate|M11=111
Ajani's Sunstriker|M13=15
Ajani, Caller of the Pride|M13=1076
Akki Avalanchers|CHK=14
Akki Blizzard-Herder|BOK=14
Akki Coalflinger|CHK=21
Akki Drillmaster|SOK=14
Akki Lavarunner|CHK=38
Akki Raider|BOK=20
Akki Rockspeaker|CHK=14
Akki Underling|SOK=16
Akki Underminer|CHK=23
Akoum Battlesinger|WWK=13
Akoum Refuge|COM=51
Akoum Refuge|ZEN=45
Akrasan Squire|ALA=25
Akroma's Blessing|ONS=50
Akroma's Devoted|LGN=56
Akroma's Memorial|FUT=703
Akroma's Memorial|M13=500
Akroma's Vengeance|COM=136
Akroma's Vengeance|ONS=336
Akroma, Angel of Fury|COM=250
Akroma, Angel of Fury|PLC=271
Akroma, Angel of Wrath|LGN=1712
Akroma, Angel of Wrath|TSB=802
Akron Legionnaire|5ED=114
Akron Legionnaire|CHR=93
Akron Legionnaire|LEG=784
Aku Djinn|VIS=120
Akuta, Born of Ash|SOK=38
Al-abara's Carpet|LEG=2280
Alabaster Dragon|POR=960
Alabaster Dragon|WTH=234
Alabaster Leech|INV=80
Alabaster Mage|M12=16
Alabaster Potion|4ED=60
Alabaster Potion|5ED=51
Alabaster Potion|LEG=72
Alabaster Wall|MMQ=28
Alaborn Cavalier|PO2=68
Alaborn Grenadier|PO2=60
Alaborn Musketeer|PO2=42
Alaborn Trooper|PO2=34
Alaborn Veteran|PO2=202
Alaborn Zealot|PO2=376
Aladdin's Lamp|3ED=192
Aladdin's Lamp|4ED=180
Aladdin's Lamp|ARN=2148
Aladdin's Ring|3ED=168
Aladdin's Ring|4ED=152
Aladdin's Ring|5ED=117
Aladdin's Ring|6ED=80
Aladdin's Ring|7ED=84
Aladdin's Ring|8ED=82
Aladdin's Ring|9ED=37
Aladdin's Ring|ARN=1872
Aladdin|ARN=2776
Aladdin|CHR=105
Alarum|MIR=42
Albino Troll|USG=90
Alchemist's Apprentice|AVR=14
Alchemist's Refuge|AVR=68
Alchor's Tomb|LEG=1248
Aleatory|MIR=60
Alert Shu Infantry|PTK=396
Alexi's Cloak|PCY=36
Alexi, Zephyr Mage|PCY=108
Algae Gharial|ALA=20
Ali Baba|4ED=92
Ali Baba|ARN=768
Ali from Cairo|ARN=18604
Aliban's Tower|HML=48
All Hallow's Eve|LEG=14684
All Suns' Dawn|5DN=126
Allay|EXO=34
Alley Grifters|MMQ=28
Alliance of Arms|COM=72
Allied Strategies|PLS=44
Allosaurus Rider|CSP=59
Alloy Golem|INV=38
Alloy Myr|NPH=39
Alluring Scent|PO2=244
Alluring Scent|POR=291
Alluring Scent|S99=204
Alluring Siren|M11=20
Alluring Siren|M12=17
Alms Beast|GTC=60
Alms|WTH=45
Alpha Authority|GTC=20
Alpha Brawl|DKA=31
Alpha Kavu|PLS=40
Alpha Myr|MRD=26
Alpha Status|SCG=230
Alpha Tyrranax|SOM=11
Altar Golem|EVE=40
Altar Of Dementia|TMP=1752
Altar of Bone|ICE=198
Altar of Shadows|MRD=94
Altar of the Lost|DKA=18
Altar's Light|MRD=38
Altar's Reap|ISD=13
Alter Reality|TOR=86
Aluren|TMP=4059
Amass the Components|AVR=13
Ambassador Laquatus|10E=104
Ambassador Laquatus|TOR=224
Ambassador Oak|MOR=13
Amber Prison|6ED=90
Amber Prison|MIR=108
Ambition's Cost|8ED=150
Ambition's Cost|PTK=1914
Ambush Commander|SCG=408
Ambush Party|5ED=48
Ambush Party|HML=45
Ambush Viper|ISD=14
Ambush|HML=51
Amnesia|DRK=280
Amoeboid Changeling|LRW=14
Amok|STH=82
Amphibious Kavu|PLS=28
Amphin Cutthroat|M12=12
Amrou Kithkin|4ED=68
Amrou Kithkin|LEG=72
Amrou Scout|TSP=13
Amrou Seekers|TSP=14
Amugaba|ODY=80
Amulet of Kroog|4ED=60
Amulet of Kroog|5ED=48
Amulet of Kroog|ATQ=68
Amulet of Quoz|ICE=132
Amulet of Unmaking|MIR=114
Amulet of Vigor|WWK=77
An-Havva Constable|5ED=117
An-Havva Constable|HML=117
An-Havva Inn|HML=72
An-Havva Township|HML=78
An-Zerrin Ruins|HML=192
Ana Battlemage|PLC=20
Ana Disciple|APC=28
Ana Sanctuary|APC=40
Anaba Ancestor|HML=141
Anaba Bodyguard|10E=15
Anaba Bodyguard|6ED=28
Anaba Bodyguard|HML=48
Anaba Shaman|6ED=28
Anaba Shaman|8ED=30
Anaba Shaman|9ED=16
Anaba Shaman|HML=45
Anaba Spirit Crafter|HML=138
Anaconda|7ED=44
Anaconda|9ED=23
Anaconda|POR=66
Anaconda|USG=42
Anarchist|9ED=23
Anarchist|EXO=32
Anarchist|ODY=28
Anarchy|ICE=195
Anathemancer|ARB=28
Anavolver|APC=76
Ancestor's Chosen|10E=22
Ancestor's Chosen|JUD=40
Ancestor's Prophet|ONS=100
Ancestral Knowledge|WTH=294
Ancestral Mask|MMQ=78
Ancestral Memories|6ED=88
Ancestral Memories|7ED=80
Ancestral Memories|MIR=123
Ancestral Memories|POR=252
Ancestral Recall|2ED=302460
Ancestral Tribute|ODY=82
Ancestral Vision|TSP=599
Ancient Amphitheater|LRW=86
Ancient Craving|PO2=1920
Ancient Craving|S99=1580
Ancient Den|MRD=318
Ancient Grudge|ISD=16
Ancient Grudge|TSP=26
Ancient Hellkite|M11=42
Ancient Hydra|NMS=44
Ancient Kavu|INV=28
Ancient Ooze|SCG=112
Ancient Runes|TMP=63
Ancient Silverback|7ED=88
Ancient Silverback|9ED=42
Ancient Silverback|UDS=86
Ancient Spider|PLS=90
Ancient Spring|INV=36
Ancient Tomb|TMP=2868
Ancient Ziggurat|CFX=185
Andradite Leech|INV=76
Angel of Despair|COM=404
Angel of Despair|GPT=429
Angel of Flight Alabaster|ISD=33
Angel of Fury|PO2=1282
Angel of Glory's Rise|AVR=199
Angel of Jubilation|AVR=157
Angel of Light|S99=1620
Angel of Mercy|10E=25
Angel of Mercy|8ED=50
Angel of Mercy|9ED=25
Angel of Mercy|INV=48
Angel of Mercy|PO2=80
Angel of Mercy|S99=240
Angel of Retribution|TOR=108
Angel of Salvation|FUT=51
Angel of Serenity|RTR=1215
Angel's Feather|10E=21
Angel's Feather|9ED=25
Angel's Feather|DST=44
Angel's Feather|M11=19
Angel's Feather|M12=17
Angel's Grace|TSP=367
Angel's Herald|ALA=20
Angel's Mercy|AVR=13
Angel's Mercy|M12=12
Angel's Mercy|M13=13
Angel's Tomb|AVR=16
Angel's Trumpet|ULG=56
Angelfire Crusader|APC=28
Angelic Arbiter|COM=51
Angelic Arbiter|M11=49
Angelic Armaments|AVR=19
Angelic Benediction|ALA=22
Angelic Benediction|M13=21
Angelic Blessing|10E=15
Angelic Blessing|9ED=17
Angelic Blessing|EXO=30
Angelic Blessing|PO2=36
Angelic Blessing|POR=51
Angelic Blessing|S00=136
Angelic Blessing|S99=40
Angelic Chorus|10E=282
Angelic Chorus|USG=458
Angelic Curator|ULG=32
Angelic Destiny|M12=498
Angelic Edict|GTC=14
Angelic Favor|NMS=48
Angelic Overseer|ISD=238
Angelic Page|7ED=32
Angelic Page|8ED=32
Angelic Page|USG=36
Angelic Protector|TMP=81
Angelic Renewal|WTH=81
Angelic Shield|INV=46
Angelic Skirmisher|GTC=112
Angelic Voices|CHR=168
Angelic Voices|LEG=1456
Angelic Wall|10E=16
Angelic Wall|AVR=13
Angelic Wall|ODY=28
Angelic Wall|PO2=52
Angelsong|ALA=15
Anger|COM=87
Anger|JUD=192
Angry Mob|4ED=84
Angry Mob|5ED=69
Angry Mob|DRK=108
Angus Mackenzie|LEG=12000
Animal Boneyard|ODY=56
Animal Magnetism|ONS=72
Animar, Soul of Elements|COM=287
Animate Artifact|2ED=172
Animate Artifact|3ED=96
Animate Artifact|4ED=88
Animate Artifact|LEA=2136
Animate Artifact|LEB=848
Animate Dead|2ED=1444
Animate Dead|3ED=596
Animate Dead|4ED=576
Animate Dead|5ED=513
Animate Dead|LEA=21868
Animate Dead|LEB=16768
Animate Land|NMS=50
Animate Wall|2ED=864
Animate Wall|3ED=172
Animate Wall|4ED=168
Animate Wall|5ED=132
Animate Wall|6ED=94
Animate Wall|LEA=47980
Animate Wall|LEB=6384
Ankh of Mishra|2ED=1424
Ankh of Mishra|3ED=312
Ankh of Mishra|4ED=316
Ankh of Mishra|5ED=246
Ankh of Mishra|6ED=184
Ankh of Mishra|LEA=55120
Ankh of Mishra|LEB=19880
Annex|9ED=28
Annex|ONS=48
Annihilate|INV=46
Annihilating Fire|RTR=14
Annul|MRD=28
Annul|USG=32
Anodet Lurker|5DN=26
Anoint|TMP=45
Anowon, the Ruin Sage|WWK=144
Antagonism|USG=84
Anthem of Rakdos|DIS=43
Anthroplasm|ULG=80
Anti-Magic Aura|5ED=69
Anti-Magic Aura|LEG=80
Antler Skulkin|EVE=13
Anurid Barkripper|JUD=28
Anurid Brushhopper|JUD=106
Anurid Murkdiver|ONS=26
Anurid Scavenger|TOR=38
Anurid Swarmsnapper|JUD=38
Anvil of Bogardan|VIS=1437
Apathy|WTH=48
Apes of Rath|TMP=66
Apex Hawks|WWK=13
Aphetto Alchemist|ONS=102
Aphetto Dredging|ONS=28
Aphetto Exterminator|LGN=40
Aphetto Grifter|ONS=42
Aphetto Runecaster|SCG=42
Aphetto Vulture|ONS=38
Aphotic Wisps|SHM=14
Apocalypse Chime|HML=123
Apocalypse Hydra|CFX=359
Apocalypse|TMP=555
Apostle's Blessing|NPH=15
Apothecary Initiate|SHM=14
Appetite for Brains|AVR=28
Apprentice Necromancer|UDS=206
Apprentice Sorcerer|PO2=64
Apprentice Wizard|4ED=64
Apprentice Wizard|DRK=412
Aquamoeba|TOR=38
Aquamorph Entity|PLC=14
Aquastrand Spider|COM=14
Aquastrand Spider|DIS=14
Aquitect's Will|LRW=17
Aquus Steed|RTR=18
Araba Mothrider|SOK=16
Arachnoid|5DN=38
Arachnus Spinner|M12=35
Arachnus Web|M12=13
Arashi, the Sky Asunder|SOK=76
Arbalest Elite|M12=17
Arbiter of Knollridge|COM=37
Arbiter of Knollridge|LRW=38
Arbor Elf|M13=22
Arbor Elf|WWK=22
Arboria|LEG=592
Arc Blade|FUT=28
Arc Lightning|USG=36
Arc Mage|NMS=42
Arc Runner|M11=12
Arc Trail|PC2=38
Arc Trail|SOM=41
Arc-Slogger|MRD=94
Arcades Sabboth|CHR=192
Arcades Sabboth|LEG=3752
Arcane Denial|ALL=216
Arcane Laboratory|7ED=174
Arcane Laboratory|USG=196
Arcane Melee|AVR=34
Arcane Sanctum|ALA=198
Arcane Spyglass|DST=28
Arcane Teachings|10E=23
Arcane Teachings|JUD=30
Arcanis the Omnipotent|10E=386
Arcanis the Omnipotent|ONS=752
Arcanum Wings|FUT=23
Arcbound Bruiser|DST=28
Arcbound Crusher|DST=188
Arcbound Fiend|DST=50
Arcbound Hybrid|DST=28
Arcbound Lancer|DST=46
Arcbound Overseer|DST=398
Arcbound Ravager|DST=4894
Arcbound Reclaimer|DST=204
Arcbound Slith|DST=86
Arcbound Stinger|DST=36
Arcbound Wanderer|5DN=44
Arcbound Worker|DST=52
Archaeological Dig|INV=80
Archaeomancer|M13=15
Archangel of Strife|COM=145
Archangel's Light|DKA=65
Archangel|6ED=512
Archangel|AVR=20
Archangel|PO2=1428
Archangel|POR=903
Archangel|S99=586
Archangel|VIS=327
Archdemon of Unx|ALA=35
Archery Training|UDS=52
Architects of Will|ARB=15
Archive Trap|ZEN=191
Archivist|7ED=98
Archivist|8ED=86
Archivist|9ED=43
Archivist|ULG=88
Archmage Ascension|ZEN=37
Archon of Justice|EVE=57
Archon of Justice|M12=37
Archon of Redemption|WWK=35
Archon of the Triumvirate|RTR=31
Archweaver|RTR=18
Archwing Dragon|AVR=55
Arctic Aven|M13=22
Arctic Flats|CSP=87
Arctic Foxes|ICE=45
Arctic Merfolk|PLS=28
Arctic Nishoba|CSP=20
Arctic Wolves|WTH=66
Arcum Dagsson|CSP=157
Arcum's Sleigh|ICE=60
Arcum's Weathervane|ICE=66
Arcum's Whistle|ICE=63
Ardent Militia|6ED=42
Ardent Militia|7ED=44
Ardent Militia|8ED=42
Ardent Militia|POR=66
Ardent Militia|S99=62
Ardent Militia|WTH=45
Ardent Plea|ARB=47
Ardent Recruit|MBS=12
Ardent Soldier|INV=30
Arena of the Ancients|CHR=177
Arena of the Ancients|LEG=1804
Arena|PRO=900
Arena|TSB=46
Arenson's Aura|5ED=69
Arenson's Aura|ICE=45
Argent Mutation|NPH=16
Argent Sphinx|SOM=33
Argentum Armor|SOM=62
Argivian Archaeologist|ATQ=5040
Argivian Blacksmith|ATQ=76
Argivian Find|WTH=216
Argivian Restoration|WTH=90
Argothian Elder|USG=98
Argothian Enchantress|USG=2950
Argothian Pixies|ATQ=72
Argothian Pixies|CHR=39
Argothian Swine|USG=30
Argothian Treefolk|ATQ=76
Argothian Wurm|USG=290
Arid Mesa|ZEN=2163
Ark of Blight|SCG=40
Arm with AEther|NPH=18
Armada Wurm|RTR=440
Armadillo Cloak|INV=124
Armageddon Clock|3ED=176
Armageddon Clock|4ED=172
Armageddon Clock|ATQ=416
Armageddon|2ED=4032
Armageddon|3ED=1556
Armageddon|4ED=1372
Armageddon|5ED=1197
Armageddon|6ED=860
Armageddon|LEA=54524
Armageddon|LEB=29008
Armageddon|PO2=1486
Armageddon|POR=2280
Armageddon|S99=992
Armament Master|ZEN=36
Armed Response|5DN=26
Armillary Sphere|CFX=17
Armillary Sphere|COM=17
Armillary Sphere|PC2=14
Armistice|MMQ=84
Armor of Faith|5ED=45
Armor of Faith|ICE=45
Armor of Thorns|MIR=42
Armor Sliver|TMP=99
Armor Thrull|FEM=64
Armored Ascension|M11=23
Armored Ascension|SHM=26
Armored Cancrix|M11=13
Armored Galleon|PO2=70
Armored Griffin|PC2=17
Armored Griffin|PO2=84
Armored Guardian|INV=86
Armored Pegasus|6ED=28
Armored Pegasus|POR=54
Armored Pegasus|TMP=45
Armored Skaab|ISD=13
Armored Transport|GTC=14
Armored Warhorse|M12=12
Armorer Guildmage|MIR=45
Armory Guard|RTR=13
Arms Dealer|M13=20
Arms Dealer|MMQ=54
Army Ants|VIS=78
Army of Allah|ARN=856
Army of the Damned|ISD=234
Arnjlot's Ascent|ICE=42
Arrest|MMQ=48
Arrest|MRD=30
Arrest|RTR=19
Arrest|SOM=11
Arrogant Vampire|POR=186
Arrogant Wurm|TOR=154
Arrow Volley Trap|ZEN=19
Arrows of Justice|GTC=21
Arsenal Thresher|ARB=13
Artful Dodge|DKA=15
Artifact Blast|ATQ=88
Artifact Mutation|INV=308
Artifact Possession|ATQ=68
Artifact Ward|ATQ=72
Artificer's Intuition|5DN=106
Artificial Evolution|ONS=100
Artillerize|NPH=13
Artisan of Kozilek|COM=74
Ascendant Evincar|10E=133
Ascendant Evincar|NMS=288
Ascending Aven|ONS=26
Asceticism|SOM=371
Ash Zealot|RTR=382
Asha's Favor|CFX=15
Ashcoat Bear|TSP=15
Ashen Firebeast|ODY=76
Ashen Ghoul|ICE=117
Ashen Monstrosity|BOK=20
Ashen Powder|6ED=160
Ashen Powder|MIR=207
Ashen-Skin Zubera|CHK=15
Ashenmoor Cohort|SHM=14
Ashenmoor Gouger|SHM=42
Ashenmoor Liege|SHM=327
Ashes of the Fallen|SOK=39
Ashes to Ashes|4ED=84
Ashes to Ashes|5ED=75
Ashes to Ashes|DRK=80
Ashling the Pilgrim|LRW=61
Ashling's Prerogative|LRW=36
Ashling, the Extinguisher|EVE=219
Ashmouth Hound|ISD=14
Ashnod's Altar|5ED=267
Ashnod's Altar|6ED=172
Ashnod's Altar|ATQ=1468
Ashnod's Altar|CHR=159
Ashnod's Battle Gear|4ED=84
Ashnod's Battle Gear|ATQ=156
Ashnod's Cylix|ALL=117
Ashnod's Transmogrant|5ED=48
Ashnod's Transmogrant|ATQ=156
Ashnod's Transmogrant|CHR=45
Asmira, Holy Avenger|MIR=138
Aspect of Mongoose|TSP=30
Aspect of Wolf|2ED=1204
Aspect of Wolf|3ED=176
Aspect of Wolf|4ED=176
Aspect of Wolf|5ED=153
Aspect of Wolf|LEA=57000
Aspect of Wolf|LEB=9992
Assassin's Blade|POR=147
Assassin's Strike|RTR=18
Assassinate|10E=15
Assassinate|M11=13
Assassinate|PC2=12
Assassinate|TSP=14
Assault // Battery|INV=52
Assault // Battery|TSB=24
Assault Griffin|GTC=14
Assault Griffin|M11=13
Assault Griffin|M12=11
Assault Strobe|SOM=13
Assault Zeppelid|DIS=14
Assemble the Legion|GTC=126
Assembly Hall|MMQ=74
Assembly-Worker|TSP=18
Assert Authority|MRD=42
Astral Slide|ONS=60
Astral Steel|SCG=28
Astrolabe|ALL=48
Atalya, Samite Master|INV=144
Atogatog|ODY=84
Atog|3ED=76
Atog|5ED=90
Atog|ATQ=160
Atog|MRD=54
Attended Knight|M13=15
Attrition|COM=85
Attrition|UDS=202
Attunement|USG=186
Auger Spree|RTR=13
Augur il-Vec|FUT=14
Augur of Bolas|M13=91
Augur of Skulls|FUT=17
Augury Adept|SHM=143
Augury Owl|M11=13
Augury Owl|PC2=12
Auntie's Hovel|LRW=167
Auntie's Snitch|MOR=40
Aura Barbs|BOK=20
Aura Blast|PLS=30
Aura Extraction|ONS=38
Aura Flux|ULG=30
Aura Fracture|PCY=30
Aura Gnarlid|PC2=13
Aura Graft|10E=22
Aura Graft|ODY=44
Aura Mutation|INV=230
Aura of Dominion|CHK=21
Aura of Silence|10E=117
Aura of Silence|WTH=327
Aura Shards|COM=177
Aura Shards|INV=412
Aura Thief|UDS=242
Auramancer's Guise|PLC=26
Auramancer|M12=12
Auramancer|ODY=28
Auramancer|PC2=13
Auratog|TMP=171
Auratog|TSB=48
Auratouched Mage|PC2=18
Auratouched Mage|RAV=21
Aurelia's Fury|GTC=2278
Aurelia, the Warleader|GTC=2057
Aurification|ONS=112
Auriok Bladewarden|MRD=38
Auriok Champion|5DN=2412
Auriok Edgewright|SOM=17
Auriok Glaivemaster|DST=26
Auriok Replica|SOM=12
Auriok Salvagers|5DN=56
Auriok Siege Sled|DST=36
Auriok Steelshaper|MRD=282
Auriok Sunchaser|SOM=11
Auriok Survivors|NPH=17
Auriok Transfixer|MRD=28
Auriok Windwalker|5DN=82
Aurochs Herd|CSP=14
Aurochs|5ED=48
Aurochs|ICE=45
Aurora Eidolon|DIS=13
Aurora Griffin|PLS=28
Auspicious Ancestor|MIR=120
Austere Command|COM=245
Austere Command|LRW=270
Autochthon Wurm|RAV=78
Autumn Willow|HML=186
Autumn's Veil|M11=22
Autumn's Veil|M12=18
Avacyn's Collar|DKA=21
Avacyn's Pilgrim|ISD=30
Avacyn, Angel of Hope|AVR=1149
Avacynian Priest|ISD=13
Avalanche Riders|TSB=76
Avalanche Riders|ULG=136
Avalanche|ICE=60
Avarax|ONS=40
Avarice Totem|5DN=42
Avatar of Discord|DIS=166
Avatar of Fury|COM=66
Avatar of Fury|PCY=368
Avatar of Hope|8ED=136
Avatar of Hope|PCY=154
Avatar of Might|10E=71
Avatar of Might|PCY=146
Avatar of Slaughter|COM=89
Avatar of Will|PCY=162
Avatar of Woe|COM=239
Avatar of Woe|PCY=574
Avatar of Woe|TSB=284
Aven Archer|ODY=38
Aven Augur|FUT=14
Aven Brigadier|ONS=266
Aven Cloudchaser|10E=15
Aven Cloudchaser|8ED=30
Aven Cloudchaser|9ED=15
Aven Cloudchaser|ODY=28
Aven Envoy|LGN=26
Aven Farseer|SCG=28
Aven Fateshaper|ONS=40
Aven Fisher|10E=15
Aven Fisher|8ED=30
Aven Fisher|9ED=16
Aven Fisher|ODY=28
Aven Fleetwing|M12=12
Aven Flock|8ED=30
Aven Flock|9ED=16
Aven Flock|ODY=28
Aven Fogbringer|JUD=28
Aven Liberator|SCG=28
Aven Mimeomancer|ARB=42
Aven Mindcensor|FUT=558
Aven Redeemer|LGN=28
Aven Riftwatcher|PLC=17
Aven Shrine|ODY=78
Aven Smokeweaver|ODY=38
Aven Soulgazer|ONS=38
Aven Squire|CFX=15
Aven Squire|M13=14
Aven Trailblazer|CFX=14
Aven Trooper|TOR=28
Aven Warcraft|JUD=40
Aven Warhawk|LGN=44
Aven Windreader|10E=15
Aven Windreader|9ED=16
Aven Windreader|ODY=28
Avenger en-Dal|NMS=80
Avenger of Zendikar|WWK=661
Avenging Angel|TMP=324
Avenging Arrow|RTR=13
Avenging Druid|EXO=28
Avian Changeling|LRW=14
Avizoa|WTH=126
Avoid Fate|LEG=376
Avoid Fate|TSB=61
Awakener Druid|M11=20
Awakening Zone|COM=148
Awakening Zone|PC2=139
Awakening|STH=132
Awe Strike|MRD=30
Awesome Presence|ALL=45
Axebane Guardian|RTR=13
Axebane Stag|RTR=13
Axegrinder Giant|LRW=13
Axelrod Gunnarson|CHR=117
Axelrod Gunnarson|LEG=1016
Ayesha Tanaka|CHR=114
Ayesha Tanaka|LEG=748
Aysen Abbey|HML=72
Aysen Bureaucrats|5ED=48
Aysen Bureaucrats|HML=51
Aysen Crusader|HML=303
Aysen Highway|HML=120
Ayumi, the Last Visitor|SOK=49
Azami, Lady of Scrolls|CHK=184
Azimaet Drake|MIR=45
Azor's Elocutors|RTR=35
Azorius Aethermage|DIS=20
Azorius Arrester|RTR=13
Azorius Chancery|COM=53
Azorius Chancery|DIS=48
Azorius Charm|RTR=90
Azorius First-Wing|DIS=14
Azorius Guildgate|RTR=21
Azorius Guildmage|COM=43
Azorius Guildmage|DIS=44
Azorius Herald|DIS=32
Azorius Justiciar|RTR=18
Azorius Keyrune|RTR=21
Azorius Ploy|DIS=17
Azorius Signet|DIS=25
Azure Drake|5ED=72
Azure Drake|9ED=21
Azure Drake|CHR=54
Azure Drake|LEG=152
Azure Drake|M11=16
Azure Mage|M12=19
Azusa, Lost but Seeking|CHK=620
Back from the Brink|ISD=32
Back to Basics|USG=1412
Back to Nature|M11=22
Backdraft|LEG=168
Backfire|4ED=100
Backfire|LEG=200
Backlash|INV=96
Backslide|ONS=26
Bad Moon|2ED=4128
Bad Moon|3ED=908
Bad Moon|4ED=836
Bad Moon|5ED=699
Bad Moon|LEA=30616
Bad Moon|LEB=22556
Bad Moon|TSB=219
Bad River|MIR=156
Badlands|2ED=33696
Badlands|3ED=21176
Badlands|LEA=200000
Badlands|LEB=208984
Baki's Curse|HML=114
Baku Altar|BOK=37
Bala Ged Thief|ZEN=35
Balance of Power|8ED=86
Balance of Power|POR=288
