Name:Main world
Name:Random Standard
Name:Random Pioneer
Name:Random Modern
Name:Random Commander
Name:Abeir Toril|Dir:Abeir Toril
Name:Abeir Toril->Faerûn|Dir:Abeir Toril-Faerûn
Name:Abeir Toril->Feywild|Dir:Abeir Toril-Feywild
Name:Abeir Toril->Neverwinter Wood|Dir:Abeir Toril-Neverwinter Wood
Name:Abeir Toril->Underdark|Dir:Abeir Toril-Underdark
Name:Alara->Bant|Dir:Alara-Bant
Name:Alara->Esper|Dir:Alara-Esper
Name:Alara->Grixis|Dir:Alara-Grixis
Name:Alara->Jund|Dir:Alara-Jund
Name:Alara->Naya|Dir:Alara-Naya
Name:Alara->The Maelstrom|Dir:Alara-The Maelstrom
Name:Amonkhet->Luxa River|Dir:Amonkhet-Luxa River
Name:Amonkhet->Naktamun|Dir:Amonkhet-Naktamun
Name:Arcavios->Orrithia|Dir:Arcavios-Orrithia
Name:Arcavios->Pillardrop|Dir:Arcavios-Pillardrop
Name:Arda->Bay of Belfalas|Dir:Arda-Bay of Belfalas
Name:Arda->Belegaer Sea|Dir:Arda-Belegaer Sea
Name:Arda->Harad|Dir:Arda-Harad
Name:Arda->Mordor|Dir:Arda-Mordor
Name:Arda->Mount Doom|Dir:Arda-Mount Doom
Name:Arda->Rohan|Dir:Arda-Rohan
Name:Arda->The Shire|Dir:Arda-The Shire
Name:Bloomburrow->Three Tree City|Dir:Bloomburrow-Three Tree City
Name:Capenna->New Capenna|Dir:Capenna-New Capenna
Name:Dominaria->Aerona|Dir:Dominaria-Aerona
Name:Dominaria->Balduvia|Dir:Dominaria-Balduvia
Name:Dominaria->Bogardan|Dir:Dominaria-Bogardan
Name:Dominaria->Caliman|Dir:Dominaria-Caliman
Name:Dominaria->Corondor|Dir:Dominaria-Corondor
Name:Dominaria->Foriys|Dir:Dominaria-Foriys
Name:Dominaria->Halcyon|Dir:Dominaria-Halcyon
Name:Dominaria->Icatia|Dir:Dominaria-Icatia
Name:Dominaria->Jamuraa|Dir:Dominaria-Jamuraa
Name:Dominaria->Keldon Necropolis|Dir:Dominaria-Keldon Necropolis
Name:Dominaria->Kher Ridges|Dir:Dominaria-Kher Ridges
Name:Dominaria->Koilos|Dir:Dominaria-Koilos
Name:Dominaria->Korlis|Dir:Dominaria-Korlis
Name:Dominaria->Lat-Nam|Dir:Dominaria-Lat-Nam
Name:Dominaria->Llanowar|Dir:Dominaria-Llanowar
Name:Dominaria->Madara|Dir:Dominaria-Madara
Name:Dominaria->New Benalia|Dir:Dominaria-New Benalia
Name:Dominaria->Otaria|Dir:Dominaria-Otaria
Name:Dominaria->Pardic Mountains|Dir:Dominaria-Pardic Mountains
Name:Dominaria->Sarpadia|Dir:Dominaria-Sarpadia
Name:Dominaria->Shanodin|Dir:Dominaria-Shanodin
Name:Dominaria->Shiv|Dir:Dominaria-Shiv
Name:Dominaria->Terisiare|Dir:Dominaria-Terisiare
Name:Dominaria->Tolaria|Dir:Dominaria-Tolaria
Name:Dominaria->Tolaria West|Dir:Dominaria-Tolaria West
Name:Dominaria->Urborg|Dir:Dominaria-Urborg
Name:Dominaria->Uthden|Dir:Dominaria-Uthden
Name:Dominaria->Verdura|Dir:Dominaria-Verdura
Name:Dominaria->Vesuva|Dir:Dominaria-Vesuva
Name:Dominaria->Vodalian|Dir:Dominaria-Vodalian
Name:Dominaria->Yavimaya|Dir:Dominaria-Yavimaya
Name:Duskmourn->Balemurk|Dir:Duskmourn-Balemurk
Name:Duskmourn->Boilerbilges|Dir:Duskmourn-Boilerbilges
Name:Duskmourn->Floodpits|Dir:Duskmourn-Floodpits
Name:Duskmourn->Hauntwoods|Dir:Duskmourn-Hauntwoods
Name:Duskmourn->Mistmoors|Dir:Duskmourn-Mistmoors
Name:Eldraine->Castle Ardenvale|Dir:Eldraine-Castle Ardenvale
Name:Eldraine->Castle Embereth|Dir:Eldraine-Castle Embereth
Name:Eldraine->Castle Garenbrig|Dir:Eldraine-Castle Garenbrig
Name:Eldraine->Castle Locthwain|Dir:Eldraine-Castle Locthwain
Name:Eldraine->Castle Vantress|Dir:Eldraine-Castle Vantress
Name:Eldraine->Loch Larent|Dir:Eldraine-Loch Larent
Name:Eldraine->Lochmere|Dir:Eldraine-Lochmere
Name:Eldraine->The Wilds|Dir:Eldraine-The Wilds
Name:Fiora->Paliano|Dir:Fiora-Paliano
Name:Fiora->Trest|Dir:Fiora-Trest
Name:Ikoria->Indatha|Dir:Ikoria-Indatha
Name:Ikoria->Ketria|Dir:Ikoria-Ketria
Name:Ikoria->Raugrin|Dir:Ikoria-Raugrin
Name:Ikoria->Savai|Dir:Ikoria-Savai
Name:Ikoria->Skysail|Dir:Ikoria-Skysail
Name:Ikoria->Zagoth|Dir:Ikoria-Zagoth
Name:Innistrad->Gavony|Dir:Innistrad-Gavony
Name:Innistrad->Kessig|Dir:Innistrad-Kessig
Name:Innistrad->Nephalia|Dir:Innistrad-Nephalia
Name:Innistrad->Stensia|Dir:Innistrad-Stensia
Name:Innistrad->Ulvenwald|Dir:Innistrad-Ulvenwald
Name:Ixalan->High and Dry|Dir:Ixalan-High and Dry
Name:Ixalan->Ixalan (continent)|Dir:Ixalan-Ixalan (continent)
Name:Ixalan->Ixalan's Core|Dir:Ixalan-Ixalan's Core
Name:Ixalan->Torrezon|Dir:Ixalan-Torrezon
Name:Ixalan->Useless Island|Dir:Ixalan-Useless Island
Name:Kaladesh->Ghirapur|Dir:Kaladesh-Ghirapur
Name:Kaladesh->Lathnu|Dir:Kaladesh-Lathnu
Name:Kaldheim->Axgard|Dir:Kaldheim-Axgard
Name:Kaldheim->Bretagard|Dir:Kaldheim-Bretagard
Name:Kaldheim->Gnottvold|Dir:Kaldheim-Gnottvold
Name:Kaldheim->Immersturm|Dir:Kaldheim-Immersturm
Name:Kaldheim->Istfell|Dir:Kaldheim-Istfell
Name:Kaldheim->Karfell|Dir:Kaldheim-Karfell
Name:Kaldheim->Littjara|Dir:Kaldheim-Littjara
Name:Kaldheim->Skemfar|Dir:Kaldheim-Skemfar
Name:Kaldheim->Starnheim|Dir:Kaldheim-Starnheim
Name:Kaldheim->Surtland|Dir:Kaldheim-Surtland
Name:Kaldheim->The World Tree|Dir:Kaldheim-The World Tree
Name:Kamigawa->Araba|Dir:Kamigawa-Araba
Name:Kamigawa->Boseiju|Dir:Kamigawa-Boseiju
Name:Kamigawa->Mikokoro|Dir:Kamigawa-Mikokoro
Name:Kamigawa->Minamo|Dir:Kamigawa-Minamo
Name:Kamigawa->Miren|Dir:Kamigawa-Miren
Name:Kamigawa->Oboro|Dir:Kamigawa-Oboro
Name:Kamigawa->Okina|Dir:Kamigawa-Okina
Name:Kamigawa->Otawara|Dir:Kamigawa-Otawara
Name:Kamigawa->Shinka|Dir:Kamigawa-Shinka
Name:Kamigawa->Shizo|Dir:Kamigawa-Shizo
Name:Kamigawa->Sokenzan|Dir:Kamigawa-Sokenzan
Name:Kamigawa->Takenuma|Dir:Kamigawa-Takenuma
Name:Kamigawa->Towashi|Dir:Kamigawa-Towashi
Name:Kamigawa->Untaidake|Dir:Kamigawa-Untaidake
Name:Kephalai->Aretopolis|Dir:Kephalai-Aretopolis
Name:Kylem->Valor's Reach Stadium|Dir:Kylem-Valor's Reach Stadium
Name:Lorwyn->Velis Vel|Dir:Lorwyn-Velis Vel
Name:Mercadia->Deepwood|Dir:Mercadia-Deepwood
Name:Mercadia->Mercadia's Subterranean Hangar|Dir:Mercadia-Mercadia's Subterranean Hangar
Name:Mercadia->Rishada|Dir:Mercadia-Rishada
Name:Mercadia->Rushwood|Dir:Mercadia-Rushwood
Name:Mercadia->Saprazzo|Dir:Mercadia-Saprazzo
Name:Nine Hells->Avernus|Dir:Nine Hells-Avernus
Name:Rath->City of Traitors|Dir:Rath-City of Traitors
Name:Rath->Death Pits|Dir:Rath-Death Pits
Name:Rath->Dream Halls|Dir:Rath-Dream Halls
Name:Rath->Erratic Portal|Dir:Rath-Erratic Portal
Name:Rath->Heartwood|Dir:Rath-Heartwood
Name:Rath->Rootwater|Dir:Rath-Rootwater
Name:Rath->Stronghold Furnace|Dir:Rath-Stronghold Furnace
Name:Rath->Stronghold's Map Room|Dir:Rath-Stronghold's Map Room
Name:Rath->Volrath's Laboratory|Dir:Rath-Volrath's Laboratory
Name:Ravnica->Agyrem|Dir:Ravnica-Agyrem
Name:Ravnica->Court Street|Dir:Ravnica-Court Street
Name:Ravnica->Foundry Street|Dir:Ravnica-Foundry Street
Name:Ravnica->Gnat Alley|Dir:Ravnica-Gnat Alley
Name:Ravnica->Ivy Lane|Dir:Ravnica-Ivy Lane
Name:Ravnica->Oak Street|Dir:Ravnica-Oak Street
Name:Ravnica->Shadow Alley|Dir:Ravnica-Shadow Alley
Name:Ravnica->Skarrg|Dir:Ravnica-Skarrg
Name:Ravnica->Slate Street|Dir:Ravnica-Slate Street
Name:Ravnica->Tenth District|Dir:Ravnica-Tenth District
Name:Ravnica->Tin Street|Dir:Ravnica-Tin Street
Name:Ravnica->Undercity Ravnica|Dir:Ravnica-Undercity Ravnica
Name:Ravnica->Vitu-Ghazi|Dir:Ravnica-Vitu-Ghazi
Name:Regatha->Keral Keep|Dir:Regatha-Keral Keep
Name:Segovia->Segovian Hippodrome|Dir:Segovia-Segovian Hippodrome
Name:Serra's Realm->Serra's Sanctum|Dir:Serra's Realm-Serra's Sanctum
Name:Shandalar->Eloren Wilds|Dir:Shandalar-Eloren Wilds
Name:Shandalar->Kalonia|Dir:Shandalar-Kalonia
Name:Tarkir->Arashin|Dir:Tarkir-Arashin
Name:Tarkir->Marang River|Dir:Tarkir-Marang River
Name:Tarkir->Mer-Ek|Dir:Tarkir-Mer-Ek
Name:Tarkir->Qal-Sisma|Dir:Tarkir-Qal-Sisma
Name:Tarkir->Valley of the Spirit Dragon|Dir:Tarkir-Valley of the Spirit Dragon
Name:Theros->Hall of Heliod's Generosity|Dir:Theros-Hall of Heliod's Generosity
Name:Theros->Katachton Mountains|Dir:Theros-Katachton Mountains
Name:Theros->Meletis|Dir:Theros-Meletis
Name:Theros->Nykthos|Dir:Theros-Nykthos
Name:Theros->Nyx|Dir:Theros-Nyx
Name:Theros->Setessa|Dir:Theros-Setessa
Name:Theros->Skola Vale|Dir:Theros-Skola Vale
Name:Theros->Skophos|Dir:Theros-Skophos
Name:Theros->Underworld|Dir:Theros-Underworld
Name:Thunder Junction->Prosperity|Dir:Thunder Junction-Prosperity
Name:Ulgrotha->An-Havva|Dir:Ulgrotha-An-Havva
Name:Ulgrotha->Castle Sengir|Dir:Ulgrotha-Castle Sengir
Name:Ulgrotha->Floating Isle|Dir:Ulgrotha-Floating Isle
Name:Ulgrotha->Koskun|Dir:Ulgrotha-Koskun
Name:Ulgrotha->Onella|Dir:Ulgrotha-Onella
Name:Zendikar->Akoum|Dir:Zendikar-Akoum
Name:Zendikar->Bala-Ged|Dir:Zendikar-Bala-Ged
Name:Zendikar->Guul-Draz|Dir:Zendikar-Guul-Draz
Name:Zendikar->Murasa|Dir:Zendikar-Murasa
Name:Zendikar->Ondu|Dir:Zendikar-Ondu
Name:Zendikar->Sejiri|Dir:Zendikar-Sejiri
Name:Zendikar->Tazeem|Dir:Zendikar-Tazeem
Name:Zendikar->Zendikar Skyclave|Dir:Zendikar-Zendikar Skyclave
Name:Zendikar->Zof-Bog|Dir:Zendikar-Zof-Bog
